Date,ABN
2023-05-25 00:00:00,76.07
2023-05-24 00:00:00,74.7
2023-05-23 00:00:00,74.71
2023-05-22 00:00:00,73.94
2023-05-19 00:00:00,76.52
2023-05-18 00:00:00,78.4
2023-05-17 00:00:00,79.06
2023-05-16 00:00:00,78.81
2023-05-15 00:00:00,80.28
2023-05-12 00:00:00,81.06
2023-05-11 00:00:00,81.75
2023-05-10 00:00:00,82.5
2023-05-09 00:00:00,80.85
2023-05-08 00:00:00,80.96
2023-05-05 00:00:00,82.78
2023-05-04 00:00:00,81.22
2023-05-03 00:00:00,79.65
2023-05-02 00:00:00,77.63
2023-05-01 00:00:00,77.52
2023-04-28 00:00:00,78.61
2023-04-27 00:00:00,79.67
2023-04-26 00:00:00,74.57
2023-04-25 00:00:00,72.64
2023-04-24 00:00:00,72.22
2023-04-21 00:00:00,70.44
2023-04-20 00:00:00,69.34
2023-04-19 00:00:00,68.92
2023-04-18 00:00:00,68.98
2023-04-17 00:00:00,70.4
2023-04-14 00:00:00,72.96
2023-04-13 00:00:00,72.59
2023-04-12 00:00:00,74.99
2023-04-11 00:00:00,75.8
2023-04-10 00:00:00,75.87
2023-04-07 00:00:00,75.9
2023-04-06 00:00:00,75.76
2023-04-05 00:00:00,72.39
2023-04-04 00:00:00,73.82
2023-04-03 00:00:00,75.8
2023-03-31 00:00:00,75.8
2023-03-30 00:00:00,79.33
2023-03-29 00:00:00,81.54
2023-03-28 00:00:00,81.6
2023-03-27 00:00:00,82.39
2023-03-24 00:00:00,77.33
2023-03-23 00:00:00,73.95
2023-03-22 00:00:00,77.81
2023-03-21 00:00:00,87.3
2023-03-20 00:00:00,84.9
2023-03-17 00:00:00,79.13
2023-03-16 00:00:00,76.6
2023-03-15 00:00:00,69.47
2023-03-14 00:00:00,69.84
2023-03-13 00:00:00,65.26
2023-03-10 00:00:00,61.08
2023-03-09 00:00:00,60.66
2023-03-08 00:00:00,59.89
2023-03-07 00:00:00,60.56
2023-03-06 00:00:00,61.13
2023-03-03 00:00:00,62.15
2023-03-02 00:00:00,61.41
2023-03-01 00:00:00,61.79
2023-02-28 00:00:00,62.3
2023-02-27 00:00:00,63.01
2023-02-24 00:00:00,61.74
2023-02-23 00:00:00,62.48
2023-02-22 00:00:00,61.95
2023-02-21 00:00:00,60.91
2023-02-20 00:00:00,61.32
2023-02-17 00:00:00,59.54
2023-02-16 00:00:00,61.09
2023-02-15 00:00:00,61.53
2023-02-14 00:00:00,63.51
2023-02-13 00:00:00,62.64
2023-02-10 00:00:00,60.9
2023-02-09 00:00:00,62.74
2023-02-08 00:00:00,63.47
2023-02-07 00:00:00,64.09
2023-02-06 00:00:00,63.18
2023-02-03 00:00:00,63.21
2023-02-02 00:00:00,67.42
2023-02-01 00:00:00,68.92
2023-01-31 00:00:00,69.2
2023-01-30 00:00:00,65.6
2023-01-27 00:00:00,65.7
2023-01-26 00:00:00,66.86
2023-01-25 00:00:00,66.35
2023-01-24 00:00:00,66.28
2023-01-23 00:00:00,65.1
2023-01-20 00:00:00,65.76
2023-01-19 00:00:00,64.49
2023-01-18 00:00:00,65.01
2023-01-17 00:00:00,65.35
2023-01-16 00:00:00,64.67
2023-01-13 00:00:00,64.41
2023-01-12 00:00:00,64.18
2023-01-11 00:00:00,64.44
2023-01-10 00:00:00,63.25
2023-01-09 00:00:00,65.62
2023-01-06 00:00:00,67.22
2023-01-05 00:00:00,65.25
2023-01-04 00:00:00,66.52
2023-01-03 00:00:00,68.44
2023-01-02 00:00:00,68.52
2022-12-30 00:00:00,68.38
2022-12-29 00:00:00,68.36
2022-12-28 00:00:00,68.5
2022-12-27 00:00:00,68.41
2022-12-26 00:00:00,68.42
2022-12-23 00:00:00,68.28
2022-12-22 00:00:00,69.02
2022-12-21 00:00:00,69
2022-12-20 00:00:00,68.97
2022-12-19 00:00:00,69.37
2022-12-16 00:00:00,68.41
2022-12-15 00:00:00,66.14
2022-12-14 00:00:00,66.93
2022-12-13 00:00:00,69.51
2022-12-12 00:00:00,69.28
2022-12-09 00:00:00,70.17
2022-12-08 00:00:00,70.35
2022-12-07 00:00:00,69.82
2022-12-06 00:00:00,70.13
2022-12-05 00:00:00,69.67
2022-12-02 00:00:00,70.1
2022-12-01 00:00:00,72.63
2022-11-30 00:00:00,73.43
2022-11-29 00:00:00,73.59
2022-11-28 00:00:00,71.55
2022-11-25 00:00:00,71.59
2022-11-24 00:00:00,73.53
2022-11-23 00:00:00,76.45
2022-11-22 00:00:00,79.56
2022-11-21 00:00:00,79.99
2022-11-18 00:00:00,81.35
2022-11-17 00:00:00,79.41
2022-11-16 00:00:00,78.84
2022-11-15 00:00:00,83.25
2022-11-14 00:00:00,83.59
2022-11-11 00:00:00,87.56
2022-11-10 00:00:00,90
2022-11-09 00:00:00,89.65
2022-11-08 00:00:00,89.7
2022-11-07 00:00:00,92.06
2022-11-04 00:00:00,96.99
2022-11-03 00:00:00,95.54
2022-11-02 00:00:00,96.36
2022-11-01 00:00:00,94.57
2022-10-31 00:00:00,93.23
2022-10-28 00:00:00,94.02
2022-10-27 00:00:00,93.76
2022-10-26 00:00:00,95.05
2022-10-25 00:00:00,95.92
2022-10-24 00:00:00,98.2
2022-10-21 00:00:00,100.44
2022-10-20 00:00:00,99.78
2022-10-19 00:00:00,96.62
2022-10-18 00:00:00,99.74
2022-10-17 00:00:00,104.84
2022-10-14 00:00:00,108.67
2022-10-13 00:00:00,109.38
2022-10-12 00:00:00,106.04
2022-10-11 00:00:00,103.49
2022-10-10 00:00:00,101.76
2022-10-07 00:00:00,100.16
2022-10-06 00:00:00,101.51
2022-10-05 00:00:00,100.95
2022-10-04 00:00:00,109.67
2022-10-03 00:00:00,107.74
2022-09-30 00:00:00,112.54
2022-09-29 00:00:00,108.01
2022-09-28 00:00:00,102.46
2022-09-27 00:00:00,103.58
2022-09-26 00:00:00,98.67
2022-09-23 00:00:00,95.6
2022-09-22 00:00:00,94.37
2022-09-21 00:00:00,94.35
2022-09-20 00:00:00,85.97
2022-09-19 00:00:00,77.42
2022-09-16 00:00:00,75.87
2022-09-15 00:00:00,76.7
2022-09-14 00:00:00,76.34
2022-09-13 00:00:00,74.63
2022-09-12 00:00:00,78.02
2022-09-09 00:00:00,80.88
2022-09-08 00:00:00,81.19
2022-09-07 00:00:00,81.17
2022-09-06 00:00:00,82.91
2022-09-05 00:00:00,81.53
2022-09-02 00:00:00,84.14
2022-09-01 00:00:00,82.32
2022-08-31 00:00:00,76.77
2022-08-30 00:00:00,71.7
2022-08-29 00:00:00,72.19
2022-08-26 00:00:00,69.41
2022-08-25 00:00:00,67.71
2022-08-24 00:00:00,67.62
2022-08-23 00:00:00,66.29
2022-08-22 00:00:00,64.47
2022-08-19 00:00:00,64.12
2022-08-18 00:00:00,63.36
2022-08-17 00:00:00,62.73
2022-08-16 00:00:00,63.26
2022-08-15 00:00:00,63.96
2022-08-12 00:00:00,64.75
2022-08-11 00:00:00,68.47
2022-08-10 00:00:00,68.52
2022-08-09 00:00:00,68.1
2022-08-08 00:00:00,70.64
2022-08-05 00:00:00,70.49
2022-08-04 00:00:00,71.35
2022-08-03 00:00:00,74.81
2022-08-02 00:00:00,72.48
2022-08-01 00:00:00,73.16
2022-07-29 00:00:00,76.11
2022-07-28 00:00:00,79.64
2022-07-27 00:00:00,80.74
2022-07-26 00:00:00,76.91
2022-07-25 00:00:00,79.19
2022-07-22 00:00:00,81.88
2022-07-21 00:00:00,81.24
2022-07-20 00:00:00,86.9
2022-07-19 00:00:00,87.77
2022-07-18 00:00:00,91.73
2022-07-15 00:00:00,92.46
2022-07-14 00:00:00,91.58
2022-07-13 00:00:00,90.77
2022-07-12 00:00:00,89.87
2022-07-11 00:00:00,89.06
2022-07-08 00:00:00,90.11
2022-07-07 00:00:00,92.13
2022-07-06 00:00:00,90.83
2022-07-05 00:00:00,89.88
2022-07-04 00:00:00,88.42
2022-07-01 00:00:00,88.71
2022-06-30 00:00:00,85.31
2022-06-29 00:00:00,82.73
2022-06-28 00:00:00,82.4
2022-06-27 00:00:00,82.56
2022-06-24 00:00:00,81.35
2022-06-23 00:00:00,78.63
2022-06-22 00:00:00,76.95
2022-06-21 00:00:00,79.14
2022-06-20 00:00:00,80.76
2022-06-17 00:00:00,80.14
2022-06-16 00:00:00,77.17
2022-06-15 00:00:00,79.2
2022-06-14 00:00:00,74.85
2022-06-13 00:00:00,68.94
2022-06-10 00:00:00,67.57
2022-06-09 00:00:00,66.5
2022-06-08 00:00:00,65.82
2022-06-07 00:00:00,65
2022-06-06 00:00:00,65.24
2022-06-03 00:00:00,65.28
2022-06-02 00:00:00,65.46
2022-06-01 00:00:00,64.55
2022-05-31 00:00:00,63.82
2022-05-30 00:00:00,64.45
2022-05-27 00:00:00,66.42
2022-05-26 00:00:00,69.18
2022-05-25 00:00:00,69.33
2022-05-24 00:00:00,68.15
2022-05-23 00:00:00,68.33
2022-05-20 00:00:00,66.68
2022-05-19 00:00:00,63.67
2022-05-18 00:00:00,63.18
2022-05-17 00:00:00,65.79
2022-05-16 00:00:00,64.88
2022-05-13 00:00:00,65.14
2022-05-12 00:00:00,62.83
2022-05-11 00:00:00,65.15
2022-05-10 00:00:00,65.61
2022-05-09 00:00:00,64.7
2022-05-06 00:00:00,63.09
2022-05-05 00:00:00,62.3
2022-05-04 00:00:00,60.61
2022-05-03 00:00:00,61.44
2022-05-02 00:00:00,61.53
2022-04-29 00:00:00,58.28
2022-04-28 00:00:00,59.8
2022-04-27 00:00:00,58.45
2022-04-26 00:00:00,56.76
2022-04-25 00:00:00,54.67
