Date,SAB
2023-02-09 00:00:00,311.88
2023-02-08 00:00:00,311.88
2023-02-07 00:00:00,314.33
2023-02-06 00:00:00,309.4
2023-02-03 00:00:00,310.11
2023-02-02 00:00:00,319.56
2023-02-01 00:00:00,322.09
2023-01-31 00:00:00,322.01
2023-01-30 00:00:00,317.01
2023-01-27 00:00:00,319.57
2023-01-26 00:00:00,324.74
2023-01-25 00:00:00,324.53
2023-01-24 00:00:00,324.55
2023-01-23 00:00:00,324.48
2023-01-20 00:00:00,324.5
2023-01-19 00:00:00,322.44
2023-01-18 00:00:00,324.49
2023-01-17 00:00:00,327
2023-01-16 00:00:00,327.17
2023-01-13 00:00:00,324.6
2023-01-12 00:00:00,324.57
2023-01-11 00:00:00,327.02
2023-01-10 00:00:00,327.15
2023-01-09 00:00:00,334.66
2023-01-06 00:00:00,336.52
2023-01-05 00:00:00,335.74
2023-01-04 00:00:00,335.24
2023-01-03 00:00:00,345.34
2023-01-02 00:00:00,345.26
2022-12-30 00:00:00,346.83
2022-12-29 00:00:00,350.28
2022-12-28 00:00:00,352.33
2022-12-27 00:00:00,352.3
2022-12-26 00:00:00,352.33
2022-12-23 00:00:00,353.68
2022-12-22 00:00:00,352.84
2022-12-21 00:00:00,354.2
2022-12-20 00:00:00,352.86
2022-12-19 00:00:00,349.53
2022-12-16 00:00:00,343.95
2022-12-15 00:00:00,337.73
2022-12-14 00:00:00,338.48
2022-12-13 00:00:00,342.79
2022-12-12 00:00:00,336.59
2022-12-09 00:00:00,339.55
2022-12-08 00:00:00,339.66
2022-12-07 00:00:00,339.67
2022-12-06 00:00:00,344.13
2022-12-05 00:00:00,341.69
2022-12-02 00:00:00,342.46
2022-12-01 00:00:00,344.18
2022-11-30 00:00:00,344.92
2022-11-29 00:00:00,346.83
2022-11-28 00:00:00,353.48
2022-11-25 00:00:00,359.49
2022-11-24 00:00:00,355.49
2022-11-23 00:00:00,354.97
2022-11-22 00:00:00,355.68
2022-11-21 00:00:00,355.98
2022-11-18 00:00:00,356.71
2022-11-17 00:00:00,357.35
2022-11-16 00:00:00,357.41
2022-11-15 00:00:00,355.93
2022-11-14 00:00:00,358.42
2022-11-11 00:00:00,365.04
2022-11-10 00:00:00,364.64
2022-11-09 00:00:00,363.98
2022-11-08 00:00:00,364.07
2022-11-07 00:00:00,363.26
2022-11-04 00:00:00,363.71
2022-11-03 00:00:00,364.43
2022-11-02 00:00:00,364.77
2022-11-01 00:00:00,364.05
2022-10-31 00:00:00,364.02
2022-10-28 00:00:00,366.77
2022-10-27 00:00:00,370.6
2022-10-26 00:00:00,369.48
2022-10-25 00:00:00,370.76
2022-10-24 00:00:00,371.07
2022-10-21 00:00:00,371.53
2022-10-20 00:00:00,370.98
2022-10-19 00:00:00,371.49
2022-10-18 00:00:00,380.12
2022-10-17 00:00:00,379.98
2022-10-14 00:00:00,379.78
2022-10-13 00:00:00,375.44
2022-10-12 00:00:00,374.89
2022-10-11 00:00:00,376.34
2022-10-10 00:00:00,377.3
2022-10-07 00:00:00,378.51
2022-10-06 00:00:00,384.91
2022-10-05 00:00:00,390.54
2022-10-04 00:00:00,391.21
2022-10-03 00:00:00,392.61
2022-09-30 00:00:00,395.81
2022-09-29 00:00:00,392.91
2022-09-28 00:00:00,345.23
2022-09-27 00:00:00,344
2022-09-26 00:00:00,338.81
2022-09-23 00:00:00,334.83
2022-09-22 00:00:00,334.25
2022-09-21 00:00:00,332.63
2022-09-20 00:00:00,334.29
2022-09-19 00:00:00,338.14
2022-09-16 00:00:00,338.3
2022-09-15 00:00:00,337.92
2022-09-14 00:00:00,337.53
2022-09-13 00:00:00,352.58
2022-09-12 00:00:00,357.24
2022-09-09 00:00:00,359.88
2022-09-08 00:00:00,360.13
2022-09-07 00:00:00,360.67
2022-09-06 00:00:00,362.58
2022-09-05 00:00:00,360.69
2022-09-02 00:00:00,359.76
2022-09-01 00:00:00,351.82
2022-08-31 00:00:00,344.87
2022-08-30 00:00:00,343.41
2022-08-29 00:00:00,341.33
2022-08-26 00:00:00,343.38
2022-08-25 00:00:00,342.17
2022-08-24 00:00:00,342.68
2022-08-23 00:00:00,340.57
2022-08-22 00:00:00,319.74
2022-08-19 00:00:00,300.83
2022-08-18 00:00:00,295.27
2022-08-17 00:00:00,311.55
2022-08-16 00:00:00,303.28
2022-08-15 00:00:00,294.86
2022-08-12 00:00:00,340.95
2022-08-11 00:00:00,345.84
2022-08-10 00:00:00,343.94
2022-08-09 00:00:00,346.59
2022-08-08 00:00:00,347.86
2022-08-05 00:00:00,350.16
2022-08-04 00:00:00,321.51
2022-08-03 00:00:00,338.4
2022-08-02 00:00:00,335.18
2022-08-01 00:00:00,329.94
2022-07-29 00:00:00,344.95
2022-07-28 00:00:00,366.8
2022-07-27 00:00:00,370.35
2022-07-26 00:00:00,364.3
2022-07-25 00:00:00,362.88
2022-07-22 00:00:00,382.17
2022-07-21 00:00:00,375.32
2022-07-20 00:00:00,357.87
2022-07-19 00:00:00,380.48
2022-07-18 00:00:00,380.84
2022-07-15 00:00:00,394.21
2022-07-14 00:00:00,381.76
2022-07-13 00:00:00,344.76
2022-07-12 00:00:00,344.89
2022-07-11 00:00:00,332.52
2022-07-08 00:00:00,327.41
2022-07-07 00:00:00,329.36
2022-07-06 00:00:00,334.74
2022-07-05 00:00:00,328.17
2022-07-04 00:00:00,321.44
2022-07-01 00:00:00,333.06
2022-06-30 00:00:00,329.58
2022-06-29 00:00:00,305.58
2022-06-28 00:00:00,299.5
2022-06-27 00:00:00,299.54
2022-06-24 00:00:00,293.36
2022-06-23 00:00:00,287.37
2022-06-22 00:00:00,280.71
2022-06-21 00:00:00,289.1
2022-06-20 00:00:00,280.01
2022-06-17 00:00:00,281.01
2022-06-16 00:00:00,287.18
2022-06-15 00:00:00,278.04
2022-06-14 00:00:00,278.47
2022-06-13 00:00:00,256.49
2022-06-10 00:00:00,253.43
2022-06-09 00:00:00,249.25
2022-06-08 00:00:00,246.17
2022-06-07 00:00:00,249.47
2022-06-06 00:00:00,248.33
2022-06-03 00:00:00,247.56
2022-06-02 00:00:00,247.37
2022-06-01 00:00:00,245.39
2022-05-31 00:00:00,246.91
2022-05-30 00:00:00,259.49
2022-05-27 00:00:00,261.75
2022-05-26 00:00:00,264.92
2022-05-25 00:00:00,265.49
2022-05-24 00:00:00,255.74
2022-05-23 00:00:00,255.57
2022-05-20 00:00:00,261.52
2022-05-19 00:00:00,261.58
2022-05-18 00:00:00,253.01
2022-05-17 00:00:00,249.52
2022-05-16 00:00:00,254.33
2022-05-13 00:00:00,253.86
2022-05-12 00:00:00,256.56
2022-05-11 00:00:00,257.33
2022-05-10 00:00:00,254.2
2022-05-09 00:00:00,262.09
2022-05-06 00:00:00,254.5
2022-05-05 00:00:00,244.73
2022-05-04 00:00:00,234.82
2022-05-03 00:00:00,232.96
2022-05-02 00:00:00,238.3
2022-04-29 00:00:00,231.66
2022-04-28 00:00:00,228.4
2022-04-27 00:00:00,220.21
2022-04-26 00:00:00,220.72
2022-04-25 00:00:00,219.57
2022-04-22 00:00:00,219.77
2022-04-21 00:00:00,210.98
2022-04-20 00:00:00,211.32
2022-04-19 00:00:00,214.77
2022-04-18 00:00:00,224.42
2022-04-15 00:00:00,223.55
2022-04-14 00:00:00,214.32
2022-04-13 00:00:00,210.69
2022-04-12 00:00:00,209.74
2022-04-11 00:00:00,212.15
2022-04-08 00:00:00,203.74
2022-04-07 00:00:00,229.97
2022-04-06 00:00:00,226.94
2022-04-05 00:00:00,226.45
2022-04-04 00:00:00,227.74
2022-04-01 00:00:00,227.57
2022-03-31 00:00:00,226.58
2022-03-30 00:00:00,231.77
2022-03-29 00:00:00,239.92
2022-03-28 00:00:00,240.58
2022-03-25 00:00:00,238.96
2022-03-24 00:00:00,239.5
2022-03-23 00:00:00,237.82
2022-03-22 00:00:00,243.77
2022-03-21 00:00:00,238.75
2022-03-18 00:00:00,241.84
2022-03-17 00:00:00,239.34
2022-03-16 00:00:00,235.83
2022-03-15 00:00:00,242.65
2022-03-14 00:00:00,228.89
2022-03-11 00:00:00,229.25
2022-03-10 00:00:00,230.17
2022-03-09 00:00:00,226.85
2022-03-08 00:00:00,225.07
2022-03-07 00:00:00,253.83
2022-03-04 00:00:00,220.37
2022-03-03 00:00:00,221.99
2022-03-02 00:00:00,223.52
2022-03-01 00:00:00,219.74
2022-02-28 00:00:00,217.98
2022-02-25 00:00:00,219.15
2022-02-24 00:00:00,219.1
2022-02-23 00:00:00,208.32
2022-02-22 00:00:00,202.14
2022-02-21 00:00:00,204.26
2022-02-18 00:00:00,202.36
2022-02-17 00:00:00,201.6
2022-02-16 00:00:00,203.2
2022-02-15 00:00:00,200.22
2022-02-14 00:00:00,203.21
2022-02-11 00:00:00,200.61
2022-02-10 00:00:00,199.62
2022-02-09 00:00:00,194.39
2022-02-08 00:00:00,194.28
2022-02-07 00:00:00,185.22
2022-02-04 00:00:00,177.09
2022-02-03 00:00:00,176.55
2022-02-02 00:00:00,169.14
2022-02-01 00:00:00,169.6
2022-01-31 00:00:00,170.5
2022-01-28 00:00:00,174.91
2022-01-27 00:00:00,175.11
2022-01-26 00:00:00,171.19
2022-01-25 00:00:00,176.07
2022-01-24 00:00:00,171.88
2022-01-21 00:00:00,169.48
2022-01-20 00:00:00,170.95
2022-01-19 00:00:00,170.4
2022-01-18 00:00:00,172.21
2022-01-17 00:00:00,181.27
2022-01-14 00:00:00,174.92
2022-01-13 00:00:00,171.71
2022-01-12 00:00:00,170.25
2022-01-11 00:00:00,173.67
2022-01-10 00:00:00,173.29
2022-01-07 00:00:00,172.38
2022-01-06 00:00:00,172.53
2022-01-05 00:00:00,180.92
2022-01-04 00:00:00,172.84
2022-01-03 00:00:00,180.08
2021-12-31 00:00:00,173.55
2021-12-30 00:00:00,179.55
2021-12-29 00:00:00,182.31
2021-12-28 00:00:00,179.95
2021-12-27 00:00:00,181.73
2021-12-24 00:00:00,179.42
2021-12-23 00:00:00,184.82
2021-12-22 00:00:00,182.27
2021-12-21 00:00:00,184.06
2021-12-20 00:00:00,187.14
2021-12-17 00:00:00,179.63
2021-12-16 00:00:00,183.03
2021-12-15 00:00:00,182.76
2021-12-14 00:00:00,179.63
2021-12-13 00:00:00,180.01
2021-12-10 00:00:00,175.26
2021-12-09 00:00:00,176.15
2021-12-08 00:00:00,176.28
2021-12-07 00:00:00,175.56
2021-12-06 00:00:00,176.17
2021-12-03 00:00:00,177.43
2021-12-02 00:00:00,177.53
2021-12-01 00:00:00,177.78
2021-11-30 00:00:00,177.44
2021-11-29 00:00:00,175.53
2021-11-26 00:00:00,179.7
2021-11-25 00:00:00,179.41
2021-11-24 00:00:00,180.28
2021-11-23 00:00:00,177.88
2021-11-22 00:00:00,179.81
2021-11-19 00:00:00,181.53
2021-11-18 00:00:00,178.6
2021-11-17 00:00:00,181.27
2021-11-16 00:00:00,178.81
2021-11-15 00:00:00,178.71
2021-11-12 00:00:00,176.04
2021-11-11 00:00:00,181.45
2021-11-10 00:00:00,179.47
2021-11-09 00:00:00,176.39
2021-11-08 00:00:00,178.94
2021-11-05 00:00:00,179.81
2021-11-04 00:00:00,183.11
2021-11-03 00:00:00,179.21
2021-11-02 00:00:00,186.76
2021-11-01 00:00:00,178.95
2021-10-29 00:00:00,168.77
2021-10-28 00:00:00,170
2021-10-27 00:00:00,170
2021-10-26 00:00:00,170
2021-10-25 00:00:00,171.57
2021-10-22 00:00:00,168.65
2021-10-21 00:00:00,171.81
2021-10-20 00:00:00,168.59
2021-10-19 00:00:00,171.16
2021-10-18 00:00:00,168.74
2021-10-15 00:00:00,171.72
2021-10-14 00:00:00,171.21
2021-10-13 00:00:00,174.15
2021-10-12 00:00:00,171.06
2021-10-11 00:00:00,171.64
2021-10-08 00:00:00,168.73
2021-10-07 00:00:00,171.69
2021-10-06 00:00:00,168.7
2021-10-05 00:00:00,166.31
2021-10-04 00:00:00,163.87
2021-10-01 00:00:00,163.8
2021-09-30 00:00:00,164.79
2021-09-29 00:00:00,180.75
2021-09-28 00:00:00,181.99
2021-09-27 00:00:00,169.68
2021-09-24 00:00:00,169.91
2021-09-23 00:00:00,169.28
2021-09-22 00:00:00,169.85
2021-09-21 00:00:00,170.89
2021-09-20 00:00:00,172.06
2021-09-17 00:00:00,160.17
2021-09-16 00:00:00,161.89
2021-09-15 00:00:00,165.47
2021-09-14 00:00:00,165.67
2021-09-13 00:00:00,165.05
2021-09-10 00:00:00,166.45
2021-09-09 00:00:00,163.93
2021-09-08 00:00:00,165.59
2021-09-07 00:00:00,165.38
2021-09-06 00:00:00,165.85
2021-09-03 00:00:00,165.31
2021-09-02 00:00:00,167.54
2021-09-01 00:00:00,166.52
