Date,SEB
2023-11-01 00:00:00,153.21
2023-10-31 00:00:00,152.07
2023-10-30 00:00:00,151.19
2023-10-27 00:00:00,149.66
2023-10-26 00:00:00,151.85
2023-10-25 00:00:00,152.82
2023-10-24 00:00:00,150.26
2023-10-23 00:00:00,152.41
2023-10-20 00:00:00,153.75
2023-10-19 00:00:00,149.32
2023-10-18 00:00:00,151.58
2023-10-17 00:00:00,150.65
2023-10-16 00:00:00,150.88
2023-10-13 00:00:00,152.21
2023-10-12 00:00:00,148.75
2023-10-11 00:00:00,151.99
2023-10-10 00:00:00,150.56
2023-10-09 00:00:00,149.71
2023-10-06 00:00:00,159.42
2023-10-05 00:00:00,153.36
2023-10-04 00:00:00,151
2023-10-03 00:00:00,147.28
2023-10-02 00:00:00,145.5
2023-09-29 00:00:00,145.28
2023-09-28 00:00:00,145.32
2023-09-27 00:00:00,143.32
2023-09-26 00:00:00,146.34
2023-09-25 00:00:00,144.7
2023-09-22 00:00:00,144.3
2023-09-21 00:00:00,143.81
2023-09-20 00:00:00,140.96
2023-09-19 00:00:00,132.03
2023-09-18 00:00:00,130.95
2023-09-15 00:00:00,133.6
2023-09-14 00:00:00,134.12
2023-09-13 00:00:00,135.39
2023-09-12 00:00:00,132.47
2023-09-11 00:00:00,134.09
2023-09-08 00:00:00,134
2023-09-07 00:00:00,133.96
2023-09-06 00:00:00,134.02
2023-09-05 00:00:00,133.1
2023-09-04 00:00:00,134.63
2023-09-01 00:00:00,136.65
2023-08-31 00:00:00,133.71
2023-08-30 00:00:00,131.09
2023-08-29 00:00:00,133.75
2023-08-28 00:00:00,135.1
2023-08-25 00:00:00,135.11
2023-08-24 00:00:00,135.16
2023-08-23 00:00:00,137.73
2023-08-22 00:00:00,133.52
2023-08-21 00:00:00,138.62
2023-08-18 00:00:00,135.79
2023-08-17 00:00:00,131.22
2023-08-16 00:00:00,134.83
2023-08-15 00:00:00,136.08
2023-08-14 00:00:00,136.89
2023-08-11 00:00:00,135.81
2023-08-10 00:00:00,142.73
2023-08-09 00:00:00,141.16
2023-08-08 00:00:00,141.08
2023-08-07 00:00:00,141.45
2023-08-04 00:00:00,142.21
2023-08-03 00:00:00,140.98
2023-08-02 00:00:00,143.89
2023-08-01 00:00:00,141.53
2023-07-31 00:00:00,140.51
2023-07-28 00:00:00,141.66
2023-07-27 00:00:00,143.51
2023-07-26 00:00:00,146.24
2023-07-25 00:00:00,147.78
2023-07-24 00:00:00,145.79
2023-07-21 00:00:00,147.69
2023-07-20 00:00:00,149.21
2023-07-19 00:00:00,155.42
2023-07-18 00:00:00,160
2023-07-17 00:00:00,160
2023-07-14 00:00:00,160
2023-07-13 00:00:00,160
2023-07-12 00:00:00,161.98
2023-07-11 00:00:00,178.38
2023-07-10 00:00:00,181.9
2023-07-07 00:00:00,183.09
2023-07-06 00:00:00,183.88
2023-07-05 00:00:00,181.95
2023-07-04 00:00:00,184.5
2023-07-03 00:00:00,178.45
2023-06-30 00:00:00,183.44
2023-06-29 00:00:00,192.14
2023-06-28 00:00:00,190.67
2023-06-27 00:00:00,191.98
2023-06-26 00:00:00,194.49
2023-06-23 00:00:00,196.75
2023-06-22 00:00:00,196.3
2023-06-21 00:00:00,196.97
2023-06-20 00:00:00,196.47
2023-06-19 00:00:00,197.03
2023-06-16 00:00:00,195.01
2023-06-15 00:00:00,196.65
2023-06-14 00:00:00,197.21
2023-06-13 00:00:00,198.56
2023-06-12 00:00:00,198.96
2023-06-09 00:00:00,199.66
2023-06-08 00:00:00,198.88
2023-06-07 00:00:00,198.88
2023-06-06 00:00:00,199.93
2023-06-05 00:00:00,200.86
2023-06-02 00:00:00,201.47
2023-06-01 00:00:00,201.62
2023-05-31 00:00:00,201.69
2023-05-30 00:00:00,202.91
2023-05-29 00:00:00,203.18
2023-05-26 00:00:00,202.92
2023-05-25 00:00:00,200.26
2023-05-24 00:00:00,203.19
2023-05-23 00:00:00,206.01
2023-05-22 00:00:00,204.03
2023-05-19 00:00:00,205.29
2023-05-18 00:00:00,213.45
2023-05-17 00:00:00,211.08
2023-05-16 00:00:00,211.17
2023-05-15 00:00:00,213.11
2023-05-12 00:00:00,210.57
2023-05-11 00:00:00,210.16
2023-05-10 00:00:00,212.49
2023-05-09 00:00:00,212.38
2023-05-08 00:00:00,198.48
2023-05-05 00:00:00,198.74
2023-05-04 00:00:00,194.65
2023-05-03 00:00:00,191.01
2023-05-02 00:00:00,194.25
2023-05-01 00:00:00,196.97
2023-04-28 00:00:00,196.14
2023-04-27 00:00:00,191.89
2023-04-26 00:00:00,186.86
2023-04-25 00:00:00,192.05
2023-04-24 00:00:00,186.83
2023-04-21 00:00:00,188.34
2023-04-20 00:00:00,184.78
2023-04-19 00:00:00,187.08
2023-04-18 00:00:00,184.16
2023-04-17 00:00:00,180
2023-04-14 00:00:00,180
2023-04-13 00:00:00,178.38
2023-04-12 00:00:00,180
2023-04-11 00:00:00,180
2023-04-10 00:00:00,177.18
2023-04-07 00:00:00,176.27
2023-04-06 00:00:00,176.62
2023-04-05 00:00:00,165.58
2023-04-04 00:00:00,147.05
2023-04-03 00:00:00,160.4
2023-03-31 00:00:00,143.11
2023-03-30 00:00:00,117.03
2023-03-29 00:00:00,117.76
2023-03-28 00:00:00,118.74
2023-03-27 00:00:00,124.18
2023-03-24 00:00:00,124.09
2023-03-23 00:00:00,121.83
2023-03-22 00:00:00,123.4
2023-03-21 00:00:00,125.78
2023-03-20 00:00:00,121.12
2023-03-17 00:00:00,115.69
2023-03-16 00:00:00,118.66
2023-03-15 00:00:00,119.39
2023-03-14 00:00:00,118.27
2023-03-13 00:00:00,118.27
2023-03-10 00:00:00,119.08
2023-03-09 00:00:00,116.72
2023-03-08 00:00:00,118.52
2023-03-07 00:00:00,116.55
2023-03-06 00:00:00,117.64
2023-03-03 00:00:00,118.97
2023-03-02 00:00:00,117.54
2023-03-01 00:00:00,119.53
2023-02-28 00:00:00,120.58
2023-02-27 00:00:00,122.42
2023-02-24 00:00:00,125.65
2023-02-23 00:00:00,125.45
2023-02-22 00:00:00,128.29
2023-02-21 00:00:00,130.35
2023-02-20 00:00:00,127.84
2023-02-17 00:00:00,130.51
2023-02-16 00:00:00,133.39
2023-02-15 00:00:00,131.43
2023-02-14 00:00:00,131.02
2023-02-13 00:00:00,130.06
2023-02-10 00:00:00,132.41
2023-02-09 00:00:00,130.33
2023-02-08 00:00:00,130.39
2023-02-07 00:00:00,131.1
2023-02-06 00:00:00,126.72
2023-02-03 00:00:00,128.74
2023-02-02 00:00:00,130.14
2023-02-01 00:00:00,134.74
2023-01-31 00:00:00,133.76
2023-01-30 00:00:00,131.24
2023-01-27 00:00:00,133.07
2023-01-26 00:00:00,130.77
2023-01-25 00:00:00,133.21
2023-01-24 00:00:00,131.19
2023-01-23 00:00:00,133.78
2023-01-20 00:00:00,129.18
2023-01-19 00:00:00,136.71
2023-01-18 00:00:00,135.21
2023-01-17 00:00:00,132.89
2023-01-16 00:00:00,136.85
2023-01-13 00:00:00,136.45
