Date,RABO
2023-11-02 00:00:00,127.06
2023-11-01 00:00:00,134.13
2023-10-31 00:00:00,135.13
2023-10-30 00:00:00,137.95
2023-10-27 00:00:00,140.64
2023-10-26 00:00:00,141.84
2023-10-25 00:00:00,139.54
2023-10-24 00:00:00,137.77
2023-10-23 00:00:00,141.17
2023-10-20 00:00:00,141.36
2023-10-19 00:00:00,137.54
2023-10-18 00:00:00,134.54
2023-10-17 00:00:00,131.16
2023-10-16 00:00:00,131.01
2023-10-13 00:00:00,130.36
2023-10-12 00:00:00,127.67
2023-10-11 00:00:00,129.36
2023-10-10 00:00:00,130.01
2023-10-09 00:00:00,135.27
2023-10-06 00:00:00,136.2
2023-10-05 00:00:00,133.8
2023-10-04 00:00:00,132.39
2023-10-03 00:00:00,131.04
2023-10-02 00:00:00,126.01
2023-09-29 00:00:00,124.61
2023-09-28 00:00:00,126.42
2023-09-27 00:00:00,125.89
2023-09-26 00:00:00,125.28
2023-09-25 00:00:00,123.43
2023-09-22 00:00:00,122.75
2023-09-21 00:00:00,122.18
2023-09-20 00:00:00,118.68
2023-09-19 00:00:00,110.08
2023-09-18 00:00:00,109.95
2023-09-15 00:00:00,109.97
2023-09-14 00:00:00,111.93
2023-09-13 00:00:00,113.03
2023-09-12 00:00:00,109.82
2023-09-11 00:00:00,110.96
2023-09-08 00:00:00,113.29
2023-09-07 00:00:00,112.77
2023-09-06 00:00:00,111.83
2023-09-05 00:00:00,108.27
2023-09-04 00:00:00,104.13
2023-09-01 00:00:00,105.05
2023-08-31 00:00:00,104.68
2023-08-30 00:00:00,105.38
2023-08-29 00:00:00,106.31
2023-08-28 00:00:00,111.06
2023-08-25 00:00:00,109.96
2023-08-24 00:00:00,109.92
2023-08-23 00:00:00,111.14
2023-08-22 00:00:00,112.65
2023-08-21 00:00:00,113.36
2023-08-18 00:00:00,112.83
2023-08-17 00:00:00,108.38
2023-08-16 00:00:00,106.28
2023-08-15 00:00:00,105.79
2023-08-14 00:00:00,104.13
2023-08-11 00:00:00,103.56
2023-08-10 00:00:00,103.06
2023-08-09 00:00:00,106.25
2023-08-08 00:00:00,107.38
2023-08-07 00:00:00,103.87
2023-08-04 00:00:00,103.63
2023-08-03 00:00:00,103.23
2023-08-02 00:00:00,104.51
2023-08-01 00:00:00,102.08
2023-07-31 00:00:00,100.76
2023-07-28 00:00:00,103.65
2023-07-27 00:00:00,106.59
2023-07-26 00:00:00,113.63
2023-07-25 00:00:00,114.41
2023-07-24 00:00:00,115.24
2023-07-21 00:00:00,113.08
2023-07-20 00:00:00,114.56
2023-07-19 00:00:00,114.57
2023-07-18 00:00:00,115.76
2023-07-17 00:00:00,117.2
