Date,BNP
2023-05-18 00:00:00,148.18
2023-05-17 00:00:00,153.93
2023-05-16 00:00:00,153.42
2023-05-15 00:00:00,155
2023-05-12 00:00:00,154.4
2023-05-11 00:00:00,160.39
2023-05-10 00:00:00,164.12
2023-05-09 00:00:00,163.68
2023-05-08 00:00:00,158.52
2023-05-05 00:00:00,157.97
2023-05-04 00:00:00,164.68
2023-05-03 00:00:00,158.24
2023-05-02 00:00:00,153.47
2023-05-01 00:00:00,151.39
2023-04-28 00:00:00,150.54
2023-04-27 00:00:00,152.75
2023-04-26 00:00:00,155.18
2023-04-25 00:00:00,150.82
2023-04-24 00:00:00,148.32
2023-04-21 00:00:00,148.93
2023-04-20 00:00:00,145.71
2023-04-19 00:00:00,134.54
2023-04-18 00:00:00,132.68
2023-04-17 00:00:00,132.41
2023-04-14 00:00:00,134.95
2023-04-13 00:00:00,138.63
2023-04-12 00:00:00,138.59
2023-04-11 00:00:00,144.16
2023-04-10 00:00:00,148.84
2023-04-07 00:00:00,148.57
2023-04-06 00:00:00,147.92
2023-04-05 00:00:00,147.35
2023-04-04 00:00:00,142.61
2023-04-03 00:00:00,135.21
2023-03-31 00:00:00,139.39
2023-03-30 00:00:00,142.98
2023-03-29 00:00:00,161.69
2023-03-28 00:00:00,172.17
2023-03-27 00:00:00,169.26
2023-03-24 00:00:00,170.41
2023-03-23 00:00:00,161
2023-03-22 00:00:00,138.63
2023-03-21 00:00:00,138.91
2023-03-20 00:00:00,171.7
2023-03-17 00:00:00,179.27
2023-03-16 00:00:00,170.59
2023-03-15 00:00:00,163.7
2023-03-14 00:00:00,138.51
2023-03-13 00:00:00,144.68
2023-03-10 00:00:00,120.94
2023-03-09 00:00:00,110.1
2023-03-08 00:00:00,106.92
2023-03-07 00:00:00,107.2
2023-03-06 00:00:00,106.54
2023-03-03 00:00:00,108.92
2023-03-02 00:00:00,112.89
2023-03-01 00:00:00,110.91
2023-02-28 00:00:00,113
2023-02-27 00:00:00,112.75
2023-02-24 00:00:00,115.38
2023-02-23 00:00:00,113.12
2023-02-22 00:00:00,117.58
2023-02-21 00:00:00,117.2
2023-02-20 00:00:00,113.87
2023-02-17 00:00:00,112.72
2023-02-16 00:00:00,110.37
2023-02-15 00:00:00,111.97
2023-02-14 00:00:00,112.74
2023-02-13 00:00:00,115.02
2023-02-10 00:00:00,115.64
2023-02-09 00:00:00,107.86
2023-02-08 00:00:00,107.96
2023-02-07 00:00:00,109.02
2023-02-06 00:00:00,110.74
2023-02-03 00:00:00,108.33
2023-02-02 00:00:00,109.36
2023-02-01 00:00:00,116.56
2023-01-31 00:00:00,117.89
2023-01-30 00:00:00,118.68
2023-01-27 00:00:00,114.46
2023-01-26 00:00:00,114.34
2023-01-25 00:00:00,116.74
2023-01-24 00:00:00,114.02
2023-01-23 00:00:00,115.4
2023-01-20 00:00:00,120.18
2023-01-19 00:00:00,117.47
2023-01-18 00:00:00,112.55
2023-01-17 00:00:00,114.2
2023-01-16 00:00:00,115.5
2023-01-13 00:00:00,114.1
2023-01-12 00:00:00,114.29
2023-01-11 00:00:00,118.15
2023-01-10 00:00:00,120.81
2023-01-09 00:00:00,119.25
2023-01-06 00:00:00,123.15
2023-01-05 00:00:00,129.1
2023-01-04 00:00:00,127.43
2023-01-03 00:00:00,129.73
2023-01-02 00:00:00,134.57
2022-12-30 00:00:00,135.3
2022-12-29 00:00:00,140.82
2022-12-28 00:00:00,141.27
2022-12-27 00:00:00,142.22
2022-12-26 00:00:00,141.11
2022-12-23 00:00:00,141.67
2022-12-22 00:00:00,140.18
2022-12-21 00:00:00,139.64
2022-12-20 00:00:00,147.45
2022-12-19 00:00:00,142.97
2022-12-16 00:00:00,143.16
2022-12-15 00:00:00,138.59
2022-12-14 00:00:00,129.76
2022-12-13 00:00:00,129.2
2022-12-12 00:00:00,136.09
2022-12-09 00:00:00,134.07
2022-12-08 00:00:00,135.19
2022-12-07 00:00:00,136
2022-12-06 00:00:00,135.56
2022-12-05 00:00:00,134.91
2022-12-02 00:00:00,133.84
2022-12-01 00:00:00,128.95
2022-11-30 00:00:00,135.47
2022-11-29 00:00:00,135.68
2022-11-28 00:00:00,136.76
2022-11-25 00:00:00,130.25
2022-11-24 00:00:00,126.02
2022-11-23 00:00:00,131.41
2022-11-22 00:00:00,134.59
2022-11-21 00:00:00,144
2022-11-18 00:00:00,143.53
2022-11-17 00:00:00,152.86
2022-11-16 00:00:00,147.17
2022-11-15 00:00:00,141.75
2022-11-14 00:00:00,145.61
2022-11-11 00:00:00,144.8
2022-11-10 00:00:00,152.55
2022-11-09 00:00:00,161.7
2022-11-08 00:00:00,156.95
2022-11-07 00:00:00,160.22
2022-11-04 00:00:00,165.26
2022-11-03 00:00:00,173.45
2022-11-02 00:00:00,168.76
2022-11-01 00:00:00,165.18
2022-10-31 00:00:00,168
2022-10-28 00:00:00,166.61
2022-10-27 00:00:00,161.47
2022-10-26 00:00:00,160.33
2022-10-25 00:00:00,162.79
