Date,DZ
2022-12-12 00:00:00,47.13
2022-12-09 00:00:00,47.14
2022-12-08 00:00:00,47.11
2022-12-07 00:00:00,47.12
2022-12-06 00:00:00,47.13
2022-12-05 00:00:00,47.16
2022-12-02 00:00:00,47.12
2022-12-01 00:00:00,47.1
2022-11-30 00:00:00,47.15
2022-11-29 00:00:00,54.46
2022-11-28 00:00:00,54.46
2022-11-25 00:00:00,54.47
2022-11-24 00:00:00,54.45
2022-11-23 00:00:00,54.45
2022-11-22 00:00:00,54.5
2022-11-21 00:00:00,54.47
2022-11-18 00:00:00,54.45
2022-11-17 00:00:00,54.47
2022-11-16 00:00:00,54.47
2022-11-15 00:00:00,54.49
2022-11-14 00:00:00,54.44
2022-11-11 00:00:00,54.48
2022-11-10 00:00:00,54.38
2022-11-09 00:00:00,54.43
2022-11-08 00:00:00,54.44
2022-11-07 00:00:00,54.45
2022-11-04 00:00:00,54.45
2022-11-03 00:00:00,54.45
2022-11-02 00:00:00,54.44
2022-11-01 00:00:00,54.43
2022-10-31 00:00:00,54.46
2022-10-28 00:00:00,54.37
2022-10-27 00:00:00,43.71
2022-10-26 00:00:00,43.76
2022-10-25 00:00:00,43.69
2022-10-24 00:00:00,43.65
2022-10-21 00:00:00,43.74
2022-10-20 00:00:00,43.72
2022-10-19 00:00:00,43.73
2022-10-18 00:00:00,43.79
2022-10-17 00:00:00,43.75
2022-10-14 00:00:00,43.68
2022-10-13 00:00:00,43.63
2022-10-12 00:00:00,43.59
2022-10-11 00:00:00,43.79
2022-10-10 00:00:00,43.71
2022-10-07 00:00:00,43.75
2022-10-06 00:00:00,43.73
2022-10-05 00:00:00,43.74
2022-10-04 00:00:00,43.64
2022-10-03 00:00:00,43.77
2022-09-30 00:00:00,43.63
2022-09-29 00:00:00,43.68
2022-09-28 00:00:00,43.75
2022-09-27 00:00:00,43.74
2022-09-26 00:00:00,43.75
2022-09-23 00:00:00,43.7
2022-09-22 00:00:00,43.77
2022-09-21 00:00:00,43.68
2022-09-20 00:00:00,43.72
2022-09-19 00:00:00,41.88
2022-09-16 00:00:00,41.99
2022-09-15 00:00:00,41.91
2022-09-14 00:00:00,41.97
2022-09-13 00:00:00,41.96
2022-09-12 00:00:00,41.97
2022-09-09 00:00:00,41.99
2022-09-08 00:00:00,41.92
2022-09-07 00:00:00,41.91
2022-09-06 00:00:00,41.93
2022-09-05 00:00:00,41.94
2022-09-02 00:00:00,41.89
2022-09-01 00:00:00,41.92
2022-08-31 00:00:00,41.94
2022-08-30 00:00:00,41.93
2022-08-29 00:00:00,42.06
2022-08-26 00:00:00,41.91
2022-08-25 00:00:00,41.91
2022-08-24 00:00:00,41.88
2022-08-23 00:00:00,41.97
2022-08-22 00:00:00,41.93
2022-08-19 00:00:00,41.98
2022-08-18 00:00:00,41.93
2022-08-17 00:00:00,41.92
2022-08-16 00:00:00,41.91
2022-08-15 00:00:00,41.95
2022-08-12 00:00:00,41.94
2022-08-11 00:00:00,41.96
2022-08-10 00:00:00,41.9
2022-08-09 00:00:00,41.94
2022-08-08 00:00:00,41.95
2022-08-05 00:00:00,41.91
2022-08-04 00:00:00,41.92
2022-08-03 00:00:00,41.95
2022-08-02 00:00:00,41.91
2022-08-01 00:00:00,41.88
2022-07-29 00:00:00,41.93
2022-07-28 00:00:00,41.98
2022-07-27 00:00:00,41.9
2022-07-26 00:00:00,41.84
2022-07-25 00:00:00,41.93
2022-07-22 00:00:00,41.9
2022-07-21 00:00:00,41.88
2022-07-20 00:00:00,41.9
2022-07-19 00:00:00,41.83
2022-07-18 00:00:00,41.84
2022-07-15 00:00:00,41.8
2022-07-14 00:00:00,41.87
2022-07-13 00:00:00,41.88
2022-07-12 00:00:00,41.86
2022-07-11 00:00:00,41.87
2022-07-08 00:00:00,41.93
2022-07-07 00:00:00,41.87
2022-07-06 00:00:00,41.82
2022-07-05 00:00:00,41.86
