Date,CRMU
2023-12-15 00:00:00,187.69
2023-12-14 00:00:00,201.52
2023-12-13 00:00:00,207.82
2023-12-12 00:00:00,219.87
2023-12-11 00:00:00,220.4
2023-12-08 00:00:00,210.27
2023-12-07 00:00:00,208.5
2023-12-06 00:00:00,207.65
2023-12-05 00:00:00,196.3
2023-12-04 00:00:00,202.73
2023-12-01 00:00:00,194.66
2023-11-30 00:00:00,196.64
2023-11-29 00:00:00,188.94
2023-11-28 00:00:00,203.29
2023-11-27 00:00:00,216
2023-11-24 00:00:00,216.66
2023-11-23 00:00:00,209.32
2023-11-22 00:00:00,210.28
2023-11-21 00:00:00,212.89
2023-11-20 00:00:00,211.14
2023-11-17 00:00:00,202.87
2023-11-16 00:00:00,191.32
2023-11-15 00:00:00,187.58
2023-11-14 00:00:00,189.93
2023-11-13 00:00:00,199.78
2023-11-10 00:00:00,200.83
2023-11-09 00:00:00,199.2
2023-11-08 00:00:00,200.83
2023-11-07 00:00:00,200.33
2023-11-06 00:00:00,201.24
2023-11-03 00:00:00,202.21
2023-11-02 00:00:00,202.41
2023-11-01 00:00:00,195.52
2023-10-31 00:00:00,201.19
2023-10-30 00:00:00,199.36
2023-10-27 00:00:00,191.59
2023-10-26 00:00:00,185.72
2023-10-25 00:00:00,196.02
2023-10-24 00:00:00,186.3
2023-10-23 00:00:00,190.46
2023-10-20 00:00:00,189.81
2023-10-19 00:00:00,188.85
2023-10-18 00:00:00,181.15
2023-10-17 00:00:00,175.67
2023-10-16 00:00:00,175.62
2023-10-13 00:00:00,175.05
2023-10-12 00:00:00,166.57
2023-10-11 00:00:00,168.54
2023-10-10 00:00:00,169.72
2023-10-09 00:00:00,173.83
2023-10-06 00:00:00,182.84
2023-10-05 00:00:00,175.06
2023-10-04 00:00:00,179.6
2023-10-03 00:00:00,170.29
2023-10-02 00:00:00,176.25
2023-09-29 00:00:00,173.3
2023-09-28 00:00:00,175.68
2023-09-27 00:00:00,175.97
2023-09-26 00:00:00,172.06
2023-09-25 00:00:00,165.49
2023-09-22 00:00:00,164.63
2023-09-21 00:00:00,170.4
2023-09-20 00:00:00,175.82
2023-09-19 00:00:00,175.88
2023-09-18 00:00:00,185.24
2023-09-15 00:00:00,184.56
2023-09-14 00:00:00,192.99
2023-09-13 00:00:00,195.32
2023-09-12 00:00:00,191
2023-09-11 00:00:00,192.44
2023-09-08 00:00:00,186.95
2023-09-07 00:00:00,195.56
2023-09-06 00:00:00,204.59
2023-09-05 00:00:00,191.04
2023-09-04 00:00:00,192.84
2023-09-01 00:00:00,188.77
2023-08-31 00:00:00,204.73
2023-08-30 00:00:00,205.08
2023-08-29 00:00:00,197.37
2023-08-28 00:00:00,206.32
2023-08-25 00:00:00,204.27
2023-08-24 00:00:00,202.5
2023-08-23 00:00:00,197.41
2023-08-22 00:00:00,198.89
2023-08-21 00:00:00,193.33
2023-08-18 00:00:00,191.57
2023-08-17 00:00:00,205.49
2023-08-16 00:00:00,193.42
2023-08-15 00:00:00,203.5
2023-08-14 00:00:00,195.74
2023-08-11 00:00:00,203.07
2023-08-10 00:00:00,191.34
2023-08-09 00:00:00,190.74
2023-08-08 00:00:00,186.24
2023-08-07 00:00:00,184.87
2023-08-04 00:00:00,191.18
2023-08-03 00:00:00,187.66
2023-08-02 00:00:00,180.26
2023-08-01 00:00:00,190.87
2023-07-31 00:00:00,185.61
2023-07-28 00:00:00,181.45
2023-07-27 00:00:00,183.25
2023-07-26 00:00:00,180.53
2023-07-25 00:00:00,180.68
2023-07-24 00:00:00,181.43
2023-07-21 00:00:00,188.91
2023-07-20 00:00:00,205.02
2023-07-19 00:00:00,191.1
2023-07-18 00:00:00,192.8
2023-07-17 00:00:00,192.63
2023-07-14 00:00:00,190.78
2023-07-13 00:00:00,191.1
2023-07-12 00:00:00,191.86
2023-07-11 00:00:00,195.72
2023-07-10 00:00:00,197.49
2023-07-07 00:00:00,197.69
2023-07-06 00:00:00,198.65
2023-07-05 00:00:00,197.73
2023-07-04 00:00:00,197.61
2023-07-03 00:00:00,197.64
2023-06-30 00:00:00,207.68
2023-06-29 00:00:00,209.64
2023-06-28 00:00:00,214.97
2023-06-27 00:00:00,214.93
2023-06-26 00:00:00,210.64
2023-06-23 00:00:00,209.66
2023-06-22 00:00:00,210.68
2023-06-21 00:00:00,198.07
2023-06-20 00:00:00,203.73
2023-06-19 00:00:00,203.14
2023-06-16 00:00:00,191.3
2023-06-15 00:00:00,201.55
2023-06-14 00:00:00,199.16
2023-06-13 00:00:00,206.33
2023-06-12 00:00:00,194.93
2023-06-09 00:00:00,194.93
2023-06-08 00:00:00,194.98
2023-06-07 00:00:00,193.95
2023-06-06 00:00:00,195.03
2023-06-05 00:00:00,186.96
2023-06-02 00:00:00,187.47
2023-06-01 00:00:00,187.71
2023-05-31 00:00:00,188.32
2023-05-30 00:00:00,188.11
2023-05-29 00:00:00,188.49
2023-05-26 00:00:00,189.8
2023-05-25 00:00:00,188.5
2023-05-24 00:00:00,179.74
2023-05-23 00:00:00,183.62
2023-05-22 00:00:00,192.69
2023-05-19 00:00:00,207.53
2023-05-18 00:00:00,211.61
2023-05-17 00:00:00,209.56
2023-05-16 00:00:00,210.45
2023-05-15 00:00:00,202.29
2023-05-12 00:00:00,192.12
2023-05-11 00:00:00,191.89
2023-05-10 00:00:00,198.12
2023-05-09 00:00:00,208.18
2023-05-08 00:00:00,214.87
2023-05-05 00:00:00,199.11
2023-05-04 00:00:00,198.95
2023-05-03 00:00:00,196.84
2023-05-02 00:00:00,190.33
2023-05-01 00:00:00,192.46
2023-04-28 00:00:00,178.07
2023-04-27 00:00:00,178.81
2023-04-26 00:00:00,178.47
2023-04-25 00:00:00,184.58
2023-04-24 00:00:00,184.48
2023-04-21 00:00:00,180.26
2023-04-20 00:00:00,182.25
2023-04-19 00:00:00,181.01
2023-04-18 00:00:00,184.5
2023-04-17 00:00:00,186.56
2023-04-14 00:00:00,176.34
2023-04-13 00:00:00,178.28
2023-04-12 00:00:00,167.55
2023-04-11 00:00:00,168.88
2023-04-10 00:00:00,171.3
2023-04-07 00:00:00,172.1
2023-04-06 00:00:00,176.64
2023-04-05 00:00:00,176.87
2023-04-04 00:00:00,174.86
2023-04-03 00:00:00,174.04
2023-03-31 00:00:00,175.04
2023-03-30 00:00:00,175.71
2023-03-29 00:00:00,180.73
2023-03-28 00:00:00,182.7
2023-03-27 00:00:00,183.13
2023-03-24 00:00:00,183.6
2023-03-23 00:00:00,175.27
2023-03-22 00:00:00,170.5
