Date,UNIC
2023-12-20 00:00:00,163.98
2023-12-19 00:00:00,163.88
2023-12-18 00:00:00,166.7
2023-12-15 00:00:00,164.81
2023-12-14 00:00:00,162.97
2023-12-13 00:00:00,171.31
2023-12-12 00:00:00,171.77
2023-12-11 00:00:00,171.5
2023-12-08 00:00:00,173.07
2023-12-07 00:00:00,174.65
2023-12-06 00:00:00,176.99
2023-12-05 00:00:00,180.8
2023-12-04 00:00:00,181.93
2023-12-01 00:00:00,181.92
2023-11-30 00:00:00,188.6
2023-11-29 00:00:00,191.16
2023-11-28 00:00:00,198.29
2023-11-27 00:00:00,196.07
2023-11-24 00:00:00,193.53
2023-11-23 00:00:00,193.86
2023-11-22 00:00:00,195.72
2023-11-21 00:00:00,198.47
2023-11-20 00:00:00,194.75
2023-11-17 00:00:00,200.71
2023-11-16 00:00:00,201.63
2023-11-15 00:00:00,201.73
2023-11-14 00:00:00,208.94
2023-11-13 00:00:00,217.3
2023-11-10 00:00:00,220.9
2023-11-09 00:00:00,219.45
2023-11-08 00:00:00,221.25
2023-11-07 00:00:00,225.9
2023-11-06 00:00:00,228.21
2023-11-03 00:00:00,231.16
2023-11-02 00:00:00,232.75
2023-11-01 00:00:00,248.05
2023-10-31 00:00:00,249.29
2023-10-30 00:00:00,258.6
2023-10-27 00:00:00,260.06
2023-10-26 00:00:00,264.37
2023-10-25 00:00:00,262.85
2023-10-24 00:00:00,259.93
2023-10-23 00:00:00,268.94
2023-10-20 00:00:00,271.55
2023-10-19 00:00:00,263.3
2023-10-18 00:00:00,259.83
2023-10-17 00:00:00,258.96
2023-10-16 00:00:00,256.01
2023-10-13 00:00:00,253.05
2023-10-12 00:00:00,248.99
2023-10-11 00:00:00,252.39
2023-10-10 00:00:00,255.1
2023-10-09 00:00:00,267.45
2023-10-06 00:00:00,268.67
2023-10-05 00:00:00,261.6
2023-10-04 00:00:00,256.34
2023-10-03 00:00:00,256.03
2023-10-02 00:00:00,246.3
2023-09-29 00:00:00,235.33
2023-09-28 00:00:00,244.11
2023-09-27 00:00:00,233.98
2023-09-26 00:00:00,226.09
2023-09-25 00:00:00,221.53
2023-09-22 00:00:00,219.01
2023-09-21 00:00:00,220.28
2023-09-20 00:00:00,212.27
2023-09-19 00:00:00,199.27
2023-09-18 00:00:00,199.69
2023-09-15 00:00:00,198.45
2023-09-14 00:00:00,200.48
2023-09-13 00:00:00,201.81
2023-09-12 00:00:00,202.75
2023-09-11 00:00:00,203.95
2023-09-08 00:00:00,205.81
2023-09-07 00:00:00,206.81
2023-09-06 00:00:00,205.67
2023-09-05 00:00:00,200.13
2023-09-04 00:00:00,195.05
2023-09-01 00:00:00,198.34
2023-08-31 00:00:00,194.47
2023-08-30 00:00:00,195.77
2023-08-29 00:00:00,195.92
2023-08-28 00:00:00,202.48
2023-08-25 00:00:00,202.56
2023-08-24 00:00:00,201.87
2023-08-23 00:00:00,206.32
2023-08-22 00:00:00,209.33
2023-08-21 00:00:00,209.14
2023-08-18 00:00:00,213.25
2023-08-17 00:00:00,207.62
2023-08-16 00:00:00,203.39
2023-08-15 00:00:00,204.65
2023-08-14 00:00:00,201.5
2023-08-11 00:00:00,202.16
2023-08-10 00:00:00,200.67
2023-08-09 00:00:00,201.88
2023-08-08 00:00:00,209.94
2023-08-07 00:00:00,199.42
2023-08-04 00:00:00,199.03
2023-08-03 00:00:00,201.3
2023-08-02 00:00:00,195.81
2023-08-01 00:00:00,190.98
2023-07-31 00:00:00,186.29
2023-07-28 00:00:00,187.91
2023-07-27 00:00:00,190.91
2023-07-26 00:00:00,198.92
2023-07-25 00:00:00,201.5
2023-07-24 00:00:00,202.41
2023-07-21 00:00:00,196.07
2023-07-20 00:00:00,195.61
2023-07-19 00:00:00,192.05
2023-07-18 00:00:00,194.37
2023-07-17 00:00:00,196.34
2023-07-14 00:00:00,189.72
2023-07-13 00:00:00,182.11
2023-07-12 00:00:00,185.56
2023-07-11 00:00:00,199.53
2023-07-10 00:00:00,210.57
2023-07-07 00:00:00,215.32
2023-07-06 00:00:00,212.99
2023-07-05 00:00:00,205.83
2023-07-04 00:00:00,205.93
2023-07-03 00:00:00,203.22
2023-06-30 00:00:00,205.99
2023-06-29 00:00:00,217.75
2023-06-28 00:00:00,230.77
2023-06-27 00:00:00,233.35
2023-06-26 00:00:00,235.8
2023-06-23 00:00:00,236.6
2023-06-22 00:00:00,234.91
2023-06-21 00:00:00,235.85
