Date,BAY
2023-10-30 00:00:00,47.25
2023-10-27 00:00:00,43.09
2023-10-26 00:00:00,42.14
2023-10-25 00:00:00,43.4
2023-10-24 00:00:00,43.26
2023-10-23 00:00:00,47.12
2023-10-20 00:00:00,42.14
2023-10-19 00:00:00,47.17
2023-10-18 00:00:00,46.47
2023-10-17 00:00:00,46
2023-10-16 00:00:00,45.89
2023-10-13 00:00:00,45.51
2023-10-12 00:00:00,44.32
2023-10-11 00:00:00,44.9
2023-10-10 00:00:00,45.4
2023-10-09 00:00:00,46.38
2023-10-06 00:00:00,46.25
2023-10-05 00:00:00,47.38
2023-10-04 00:00:00,46.57
2023-10-03 00:00:00,47.06
2023-10-02 00:00:00,46.71
2023-09-29 00:00:00,46.21
2023-09-28 00:00:00,47.03
2023-09-27 00:00:00,47.05
2023-09-26 00:00:00,46.43
2023-09-25 00:00:00,46.13
2023-09-22 00:00:00,45.68
2023-09-21 00:00:00,43.22
2023-09-20 00:00:00,42.81
2023-09-19 00:00:00,44.57
2023-09-18 00:00:00,47.9
2023-09-15 00:00:00,47.61
2023-09-14 00:00:00,45.71
2023-09-13 00:00:00,46.47
2023-09-12 00:00:00,45.48
2023-09-11 00:00:00,46.56
2023-09-08 00:00:00,42.5
2023-09-07 00:00:00,40.53
2023-09-06 00:00:00,45.25
2023-09-05 00:00:00,44.6
2023-09-04 00:00:00,46.66
2023-09-01 00:00:00,45.58
2023-08-31 00:00:00,44.29
2023-08-30 00:00:00,44.48
2023-08-29 00:00:00,42.09
2023-08-28 00:00:00,43.32
2023-08-25 00:00:00,43.42
2023-08-24 00:00:00,43.27
2023-08-23 00:00:00,46.82
2023-08-22 00:00:00,47.33
2023-08-21 00:00:00,47.73
2023-08-18 00:00:00,47.21
2023-08-17 00:00:00,47.23
2023-08-16 00:00:00,47.6
2023-08-15 00:00:00,47.34
2023-08-14 00:00:00,45.42
2023-08-11 00:00:00,46.76
2023-08-10 00:00:00,46.44
2023-08-09 00:00:00,46.44
2023-08-08 00:00:00,45.96
2023-08-07 00:00:00,45.48
2023-08-04 00:00:00,44.47
2023-08-03 00:00:00,45.45
2023-08-02 00:00:00,47.25
2023-08-01 00:00:00,46.54
2023-07-31 00:00:00,43.61
2023-07-28 00:00:00,42.63
2023-07-27 00:00:00,46.76
2023-07-26 00:00:00,47.44
2023-07-25 00:00:00,45.47
2023-07-24 00:00:00,47.1
2023-07-21 00:00:00,47.29
2023-07-20 00:00:00,47.41
2023-07-19 00:00:00,44.45
2023-07-18 00:00:00,43.27
2023-07-17 00:00:00,43.35
2023-07-14 00:00:00,44.33
2023-07-13 00:00:00,43.49
2023-07-12 00:00:00,43.76
2023-07-11 00:00:00,45.12
2023-07-10 00:00:00,44.01
2023-07-07 00:00:00,42.04
2023-07-06 00:00:00,45.19
2023-07-05 00:00:00,44.17
2023-07-04 00:00:00,43.21
2023-07-03 00:00:00,41.76
2023-06-30 00:00:00,42.13
2023-06-29 00:00:00,40.43
2023-06-28 00:00:00,41
2023-06-27 00:00:00,46
2023-06-26 00:00:00,46.11
2023-06-23 00:00:00,45.77
2023-06-22 00:00:00,46.05
2023-06-21 00:00:00,45.91
2023-06-20 00:00:00,41.61
2023-06-19 00:00:00,41.38
2023-06-16 00:00:00,41.09
2023-06-15 00:00:00,45.6
2023-06-14 00:00:00,45.08
2023-06-13 00:00:00,43.46
2023-06-12 00:00:00,43.14
2023-06-09 00:00:00,41.11
2023-06-08 00:00:00,42.16
2023-06-07 00:00:00,41.6
2023-06-06 00:00:00,42.08
2023-06-05 00:00:00,39.64
2023-06-02 00:00:00,39.71
2023-06-01 00:00:00,39.93
2023-05-31 00:00:00,35.87
2023-05-30 00:00:00,34.94
2023-05-29 00:00:00,36.01
2023-05-26 00:00:00,35.78
2023-05-25 00:00:00,36.05
2023-05-24 00:00:00,35.99
2023-05-23 00:00:00,35.54
2023-05-22 00:00:00,35.7
2023-05-19 00:00:00,36.06
2023-05-18 00:00:00,36.77
2023-05-17 00:00:00,36.72
2023-05-16 00:00:00,36.72
2023-05-15 00:00:00,36.51
2023-05-12 00:00:00,36.69
2023-05-11 00:00:00,36.7
2023-05-10 00:00:00,33.45
2023-05-09 00:00:00,33.71
2023-05-08 00:00:00,33.67
2023-05-05 00:00:00,33.46
2023-05-04 00:00:00,33.68
2023-05-03 00:00:00,31.01
2023-05-02 00:00:00,30.84
2023-05-01 00:00:00,31.01
2023-04-28 00:00:00,30.91
2023-04-27 00:00:00,34.66
2023-04-26 00:00:00,34.57
2023-04-25 00:00:00,33.97
2023-04-24 00:00:00,33.43
2023-04-21 00:00:00,33.4
2023-04-20 00:00:00,32.83
2023-04-19 00:00:00,32.61
2023-04-18 00:00:00,32.42
2023-04-17 00:00:00,32.93
2023-04-14 00:00:00,33.3
2023-04-13 00:00:00,33.71
2023-04-12 00:00:00,33.84
2023-04-11 00:00:00,34.28
2023-04-10 00:00:00,35.05
2023-04-07 00:00:00,35
2023-04-06 00:00:00,34.8
2023-04-05 00:00:00,34.6
2023-04-04 00:00:00,36.17
2023-04-03 00:00:00,35.89
2023-03-31 00:00:00,37.93
2023-03-30 00:00:00,41.35
2023-03-29 00:00:00,42.68
2023-03-28 00:00:00,47.54
2023-03-27 00:00:00,46.55
2023-03-24 00:00:00,46.68
2023-03-23 00:00:00,45.91
2023-03-22 00:00:00,44.56
2023-03-21 00:00:00,44.84
2023-03-20 00:00:00,47.3
2023-03-17 00:00:00,44.78
2023-03-16 00:00:00,43.85
2023-03-15 00:00:00,45.85
2023-03-14 00:00:00,43.36
2023-03-13 00:00:00,43.17
2023-03-10 00:00:00,40.97
2023-03-09 00:00:00,39.71
2023-03-08 00:00:00,37.91
2023-03-07 00:00:00,38.89
2023-03-06 00:00:00,37.75
2023-03-03 00:00:00,37.95
2023-03-02 00:00:00,42.66
2023-03-01 00:00:00,38.14
2023-02-28 00:00:00,38.11
2023-02-27 00:00:00,38.09
2023-02-24 00:00:00,38.49
2023-02-23 00:00:00,37.95
2023-02-22 00:00:00,39.8
2023-02-21 00:00:00,42.79
2023-02-20 00:00:00,41.79
2023-02-17 00:00:00,39.86
2023-02-16 00:00:00,41.83
2023-02-15 00:00:00,41.87
2023-02-14 00:00:00,38.07
2023-02-13 00:00:00,38.16
2023-02-10 00:00:00,38.05
2023-02-09 00:00:00,37.11
2023-02-08 00:00:00,41.91
2023-02-07 00:00:00,41.89
2023-02-06 00:00:00,41.57
2023-02-03 00:00:00,41.15
2023-02-02 00:00:00,41.5
2023-02-01 00:00:00,42.72
2023-01-31 00:00:00,46.31
2023-01-30 00:00:00,46.48
2023-01-27 00:00:00,41.76
2023-01-26 00:00:00,39.83
2023-01-25 00:00:00,50.97
2023-01-24 00:00:00,50.64
2023-01-23 00:00:00,50.94
2023-01-20 00:00:00,50.95
2023-01-19 00:00:00,51.1
2023-01-18 00:00:00,50.98
2023-01-17 00:00:00,50.63
2023-01-16 00:00:00,51.03
2023-01-13 00:00:00,51.02
2023-01-12 00:00:00,50.98
2023-01-11 00:00:00,50.96
2023-01-10 00:00:00,51.01
2023-01-09 00:00:00,50.98
2023-01-06 00:00:00,50.92
2023-01-05 00:00:00,51.02
2023-01-04 00:00:00,51.02
2023-01-03 00:00:00,50.96
2023-01-02 00:00:00,50.94
2022-12-30 00:00:00,50.97
2022-12-29 00:00:00,51.77
2022-12-28 00:00:00,52.08
2022-12-27 00:00:00,52.11
2022-12-26 00:00:00,52.08
2022-12-23 00:00:00,52.05
2022-12-22 00:00:00,52.35
2022-12-21 00:00:00,52.66
2022-12-20 00:00:00,53.44
2022-12-19 00:00:00,53.34
2022-12-16 00:00:00,53.3
2022-12-15 00:00:00,53.76
2022-12-14 00:00:00,53.82
2022-12-13 00:00:00,53.78
2022-12-12 00:00:00,53.73
2022-12-09 00:00:00,53.75
2022-12-08 00:00:00,53.76
2022-12-07 00:00:00,53.79
2022-12-06 00:00:00,53.73
2022-12-05 00:00:00,53.75
2022-12-02 00:00:00,53.83
2022-12-01 00:00:00,53.73
2022-11-30 00:00:00,53.82
2022-11-29 00:00:00,53.75
2022-11-28 00:00:00,54.03
