Date,DZ
2023-12-01 00:00:00,58.66
2023-11-30 00:00:00,63.38
2023-11-29 00:00:00,68.81
2023-11-28 00:00:00,68.83
2023-11-27 00:00:00,70.41
2023-11-24 00:00:00,70.41
2023-11-23 00:00:00,71.21
2023-11-22 00:00:00,73.54
2023-11-21 00:00:00,69.62
2023-11-20 00:00:00,71.99
2023-11-17 00:00:00,71.97
2023-11-16 00:00:00,68.83
2023-11-15 00:00:00,73.54
2023-11-14 00:00:00,74.31
2023-11-13 00:00:00,74.33
2023-11-10 00:00:00,77.45
2023-11-09 00:00:00,71.97
2023-11-08 00:00:00,71.19
2023-11-07 00:00:00,71.18
2023-11-06 00:00:00,68.05
2023-11-03 00:00:00,68.08
2023-11-02 00:00:00,68.83
2023-11-01 00:00:00,67.28
2023-10-31 00:00:00,67.26
2023-10-30 00:00:00,68.83
2023-10-27 00:00:00,68.04
2023-10-26 00:00:00,67.27
2023-10-25 00:00:00,71.17
2023-10-24 00:00:00,65.69
2023-10-23 00:00:00,64.91
2023-10-20 00:00:00,64.92
2023-10-19 00:00:00,64.92
2023-10-18 00:00:00,64.94
2023-10-17 00:00:00,64.92
2023-10-16 00:00:00,64.93
2023-10-13 00:00:00,64.94
2023-10-12 00:00:00,64.91
2023-10-11 00:00:00,64.91
2023-10-10 00:00:00,60.18
2023-10-09 00:00:00,60.21
2023-10-06 00:00:00,63.33
2023-10-05 00:00:00,63.31
2023-10-04 00:00:00,66.5
2023-10-03 00:00:00,66.49
2023-10-02 00:00:00,64.92
2023-09-29 00:00:00,64.91
2023-09-28 00:00:00,64.93
2023-09-27 00:00:00,64.94
2023-09-26 00:00:00,64.91
2023-09-25 00:00:00,66.49
2023-09-22 00:00:00,66.48
2023-09-21 00:00:00,61.79
2023-09-20 00:00:00,61.8
2023-09-19 00:00:00,63.22
2023-09-18 00:00:00,64.02
2023-09-15 00:00:00,62.45
2023-09-14 00:00:00,62.44
2023-09-13 00:00:00,62.47
2023-09-12 00:00:00,59.36
2023-09-11 00:00:00,63.24
2023-09-08 00:00:00,59.34
2023-09-07 00:00:00,55.51
2023-09-06 00:00:00,59.36
2023-09-05 00:00:00,59.35
2023-09-04 00:00:00,58.6
2023-09-01 00:00:00,57.78
2023-08-31 00:00:00,60.14
2023-08-30 00:00:00,60.11
2023-08-29 00:00:00,55.47
2023-08-28 00:00:00,52.43
2023-08-25 00:00:00,52.4
2023-08-24 00:00:00,52.37
2023-08-23 00:00:00,52.39
2023-08-22 00:00:00,53.94
2023-08-21 00:00:00,53.94
2023-08-18 00:00:00,53.95
2023-08-17 00:00:00,49.32
2023-08-16 00:00:00,49.31
2023-08-15 00:00:00,49.31
2023-08-14 00:00:00,49.34
2023-08-11 00:00:00,49.35
2023-08-10 00:00:00,49.31
2023-08-09 00:00:00,49.34
2023-08-08 00:00:00,49.29
2023-08-07 00:00:00,51.65
2023-08-04 00:00:00,51.64
2023-08-03 00:00:00,51.63
2023-08-02 00:00:00,51.65
2023-08-01 00:00:00,53.92
2023-07-31 00:00:00,52.42
2023-07-28 00:00:00,52.43
2023-07-27 00:00:00,50.11
2023-07-26 00:00:00,49.32
2023-07-25 00:00:00,49.35
2023-07-24 00:00:00,49.32
2023-07-21 00:00:00,53.96
2023-07-20 00:00:00,57.82
2023-07-19 00:00:00,57.05
2023-07-18 00:00:00,53.92
2023-07-17 00:00:00,53.96
2023-07-14 00:00:00,56.25
2023-07-13 00:00:00,56.99
2023-07-12 00:00:00,57.02
2023-07-11 00:00:00,57.01
2023-07-10 00:00:00,57
2023-07-07 00:00:00,55.48
2023-07-06 00:00:00,60.12
2023-07-05 00:00:00,48.56
2023-07-04 00:00:00,48.61
2023-07-03 00:00:00,48.53
2023-06-30 00:00:00,48.56
2023-06-29 00:00:00,48.52
2023-06-28 00:00:00,48.59
2023-06-27 00:00:00,48.54
2023-06-26 00:00:00,48.59
2023-06-23 00:00:00,48.58
2023-06-22 00:00:00,53.17
2023-06-21 00:00:00,53.16
2023-06-20 00:00:00,53.18
2023-06-19 00:00:00,56.26
2023-06-16 00:00:00,56.3
2023-06-15 00:00:00,61.67
2023-06-14 00:00:00,61.68
2023-06-13 00:00:00,64.74
2023-06-12 00:00:00,60.11
2023-06-09 00:00:00,56.24
2023-06-08 00:00:00,57.05
2023-06-07 00:00:00,53.93
2023-06-06 00:00:00,53.96
2023-06-05 00:00:00,52.43
2023-06-02 00:00:00,52.4
2023-06-01 00:00:00,52.37
2023-05-31 00:00:00,50.04
2023-05-30 00:00:00,54.69
2023-05-29 00:00:00,54.73
2023-05-26 00:00:00,54.74
2023-05-25 00:00:00,57.05
2023-05-24 00:00:00,54.7
2023-05-23 00:00:00,55.47
2023-05-22 00:00:00,55.43
2023-05-19 00:00:00,53.93
2023-05-18 00:00:00,59.35
2023-05-17 00:00:00,57.82
2023-05-16 00:00:00,58.54
2023-05-15 00:00:00,57.82
2023-05-12 00:00:00,58.57
2023-05-11 00:00:00,63.16
2023-05-10 00:00:00,63.19
2023-05-09 00:00:00,63.16
2023-05-08 00:00:00,63.95
2023-05-05 00:00:00,60.81
2023-05-04 00:00:00,60.85
2023-05-03 00:00:00,60.01
2023-05-02 00:00:00,54.68
2023-05-01 00:00:00,57.74
2023-04-28 00:00:00,60.87
2023-04-27 00:00:00,60.9
2023-04-26 00:00:00,56.98
2023-04-25 00:00:00,60.86
2023-04-24 00:00:00,60.84
2023-04-21 00:00:00,61.61
2023-04-20 00:00:00,61.63
2023-04-19 00:00:00,61.66
2023-04-18 00:00:00,60.07
2023-04-17 00:00:00,64.74
2023-04-14 00:00:00,64.73
2023-04-13 00:00:00,64.72
2023-04-12 00:00:00,64.72
2023-04-11 00:00:00,64.71
2023-04-10 00:00:00,64.72
2023-04-07 00:00:00,63.95
2023-04-06 00:00:00,58.52
2023-04-05 00:00:00,58.44
2023-04-04 00:00:00,59.26
2023-04-03 00:00:00,61.58
2023-03-31 00:00:00,61.62
2023-03-30 00:00:00,61.61
2023-03-29 00:00:00,61.63
