Date,CAIX
2023-07-17 00:00:00,277.93
2023-07-14 00:00:00,277.47
2023-07-13 00:00:00,282.71
2023-07-12 00:00:00,282.92
2023-07-11 00:00:00,282.92
2023-07-10 00:00:00,282.82
2023-07-07 00:00:00,283.51
2023-07-06 00:00:00,282.71
2023-07-05 00:00:00,283.01
2023-07-04 00:00:00,282.8
2023-07-03 00:00:00,282.95
2023-06-30 00:00:00,283.06
2023-06-29 00:00:00,283.03
2023-06-28 00:00:00,283.01
2023-06-27 00:00:00,282.86
2023-06-26 00:00:00,282.27
2023-06-23 00:00:00,283.11
2023-06-22 00:00:00,282.92
2023-06-21 00:00:00,272.69
2023-06-20 00:00:00,272.94
2023-06-19 00:00:00,272.92
2023-06-16 00:00:00,273.07
2023-06-15 00:00:00,267.95
2023-06-14 00:00:00,267.91
2023-06-13 00:00:00,267.79
2023-06-12 00:00:00,267.71
2023-06-09 00:00:00,267.88
2023-06-08 00:00:00,267.91
2023-06-07 00:00:00,272.84
2023-06-06 00:00:00,272.99
2023-06-05 00:00:00,278.05
2023-06-02 00:00:00,277.67
2023-06-01 00:00:00,282.57
2023-05-31 00:00:00,282.47
2023-05-30 00:00:00,282.7
2023-05-29 00:00:00,282.87
2023-05-26 00:00:00,288.19
2023-05-25 00:00:00,287.76
2023-05-24 00:00:00,287.96
2023-05-23 00:00:00,287.73
2023-05-22 00:00:00,288.16
2023-05-19 00:00:00,288.36
2023-05-18 00:00:00,298.22
2023-05-17 00:00:00,297.93
2023-05-16 00:00:00,298.15
2023-05-15 00:00:00,298.16
2023-05-12 00:00:00,297.7
2023-05-11 00:00:00,297.7
2023-05-10 00:00:00,298
2023-05-09 00:00:00,293.31
2023-05-08 00:00:00,293.02
2023-05-05 00:00:00,292.64
2023-05-04 00:00:00,292.76
2023-05-03 00:00:00,293.09
2023-05-02 00:00:00,292.95
2023-05-01 00:00:00,292.59
2023-04-28 00:00:00,293.3
2023-04-27 00:00:00,297.37
2023-04-26 00:00:00,292.3
2023-04-25 00:00:00,298.01
2023-04-24 00:00:00,298.19
2023-04-21 00:00:00,297.9
2023-04-20 00:00:00,298.38
2023-04-19 00:00:00,292.92
2023-04-18 00:00:00,293.25
2023-04-17 00:00:00,293.2
2023-04-14 00:00:00,292.91
2023-04-13 00:00:00,293.16
2023-04-12 00:00:00,293.53
2023-04-11 00:00:00,300.08
2023-04-10 00:00:00,300.06
2023-04-07 00:00:00,299.92
2023-04-06 00:00:00,302.48
2023-04-05 00:00:00,297.97
2023-04-04 00:00:00,292.87
2023-04-03 00:00:00,282.82
2023-03-31 00:00:00,284.68
2023-03-30 00:00:00,290.51
2023-03-29 00:00:00,292.12
2023-03-28 00:00:00,292.3
2023-03-27 00:00:00,292.26
2023-03-24 00:00:00,289.16
2023-03-23 00:00:00,285.64
2023-03-22 00:00:00,283.28
2023-03-21 00:00:00,292.07
2023-03-20 00:00:00,301.95
2023-03-17 00:00:00,286.92
2023-03-16 00:00:00,243.98
2023-03-15 00:00:00,240.95
2023-03-14 00:00:00,242.59
2023-03-13 00:00:00,220.58
2023-03-10 00:00:00,219.11
2023-03-09 00:00:00,219
2023-03-08 00:00:00,218.98
2023-03-07 00:00:00,219.07
2023-03-06 00:00:00,219.11
2023-03-03 00:00:00,219.01
2023-03-02 00:00:00,219.1
2023-03-01 00:00:00,219.19
2023-02-28 00:00:00,219.1
2023-02-27 00:00:00,211.85
2023-02-24 00:00:00,211.86
2023-02-23 00:00:00,211.92
2023-02-22 00:00:00,211.8
2023-02-21 00:00:00,211.85
2023-02-20 00:00:00,211.95
2023-02-17 00:00:00,211.93
2023-02-16 00:00:00,211.86
2023-02-15 00:00:00,211.73
2023-02-14 00:00:00,211.81
2023-02-13 00:00:00,211.77
2023-02-10 00:00:00,211.78
2023-02-09 00:00:00,211.89
2023-02-08 00:00:00,211.76
2023-02-07 00:00:00,219.03
2023-02-06 00:00:00,218.86
2023-02-03 00:00:00,220.68
2023-02-02 00:00:00,223.39
2023-02-01 00:00:00,223.34
2023-01-31 00:00:00,226.22
2023-01-30 00:00:00,226.34
2023-01-27 00:00:00,218.92
2023-01-26 00:00:00,219.01
2023-01-25 00:00:00,219.11
2023-01-24 00:00:00,218.93
2023-01-23 00:00:00,218.93
2023-01-20 00:00:00,218.88
2023-01-19 00:00:00,220.4
2023-01-18 00:00:00,228.03
2023-01-17 00:00:00,226.26
2023-01-16 00:00:00,226.18
2023-01-13 00:00:00,226.41
2023-01-12 00:00:00,226.57
2023-01-11 00:00:00,226.31
2023-01-10 00:00:00,226.38
2023-01-09 00:00:00,235.38
2023-01-06 00:00:00,233.72
2023-01-05 00:00:00,235.25
2023-01-04 00:00:00,233.69
2023-01-03 00:00:00,238.13
2023-01-02 00:00:00,238.04
2022-12-30 00:00:00,235.25
2022-12-29 00:00:00,238.2
2022-12-28 00:00:00,236.57
2022-12-27 00:00:00,236.67
2022-12-26 00:00:00,236.64
2022-12-23 00:00:00,236.75
2022-12-22 00:00:00,236.36
