Date,DANK
2023-11-14 00:00:00,172.3
2023-11-13 00:00:00,180.55
2023-11-10 00:00:00,182.98
2023-11-09 00:00:00,176.65
2023-11-08 00:00:00,175.69
2023-11-07 00:00:00,179.74
2023-11-06 00:00:00,179.64
2023-11-03 00:00:00,179.42
2023-11-02 00:00:00,183.61
2023-11-01 00:00:00,191.85
2023-10-31 00:00:00,195.73
2023-10-30 00:00:00,201.66
2023-10-27 00:00:00,205.53
2023-10-26 00:00:00,210.39
2023-10-25 00:00:00,200.86
2023-10-24 00:00:00,197.17
2023-10-23 00:00:00,202.04
2023-10-20 00:00:00,201.02
2023-10-19 00:00:00,197.49
2023-10-18 00:00:00,191.71
2023-10-17 00:00:00,189.27
2023-10-16 00:00:00,189.28
2023-10-13 00:00:00,190.01
2023-10-12 00:00:00,183.38
2023-10-11 00:00:00,187.49
2023-10-10 00:00:00,187.17
2023-10-09 00:00:00,193.49
2023-10-06 00:00:00,192.42
2023-10-05 00:00:00,189.52
2023-10-04 00:00:00,186.72
2023-10-03 00:00:00,182.31
2023-10-02 00:00:00,177.69
2023-09-29 00:00:00,175.32
2023-09-28 00:00:00,180.47
2023-09-27 00:00:00,180.32
2023-09-26 00:00:00,178.5
2023-09-25 00:00:00,175.25
2023-09-22 00:00:00,175.39
2023-09-21 00:00:00,174.38
2023-09-20 00:00:00,166.34
2023-09-19 00:00:00,162.83
2023-09-18 00:00:00,166.71
2023-09-15 00:00:00,164.45
2023-09-14 00:00:00,173.45
2023-09-13 00:00:00,174.88
2023-09-12 00:00:00,177.48
2023-09-11 00:00:00,177.07
2023-09-08 00:00:00,177.55
2023-09-07 00:00:00,180.22
2023-09-06 00:00:00,179.12
2023-09-05 00:00:00,177.04
2023-09-04 00:00:00,173.58
2023-09-01 00:00:00,175.06
2023-08-31 00:00:00,174.91
2023-08-30 00:00:00,176.58
2023-08-29 00:00:00,176.54
2023-08-28 00:00:00,180.99
2023-08-25 00:00:00,181.04
2023-08-24 00:00:00,183.66
2023-08-23 00:00:00,185.63
2023-08-22 00:00:00,187.16
2023-08-21 00:00:00,187.71
2023-08-18 00:00:00,188.84
2023-08-17 00:00:00,184.41
2023-08-16 00:00:00,181.4
2023-08-15 00:00:00,176.96
2023-08-14 00:00:00,177.72
2023-08-11 00:00:00,174.01
2023-08-10 00:00:00,173.96
2023-08-09 00:00:00,176.84
2023-08-08 00:00:00,179.16
2023-08-07 00:00:00,176.35
2023-08-04 00:00:00,176.85
2023-08-03 00:00:00,178.36
2023-08-02 00:00:00,176.69
2023-08-01 00:00:00,172.43
2023-07-31 00:00:00,172.23
2023-07-28 00:00:00,172.37
2023-07-27 00:00:00,171.88
2023-07-26 00:00:00,179.88
2023-07-25 00:00:00,181.02
2023-07-24 00:00:00,181.24
2023-07-21 00:00:00,177.4
2023-07-20 00:00:00,180.16
2023-07-19 00:00:00,178.27
2023-07-18 00:00:00,183.5
2023-07-17 00:00:00,186.63
2023-07-14 00:00:00,185.73
2023-07-13 00:00:00,182.15
2023-07-12 00:00:00,183.01
2023-07-11 00:00:00,194.76
2023-07-10 00:00:00,202.29
2023-07-07 00:00:00,203.48
2023-07-06 00:00:00,203.57
2023-07-05 00:00:00,199.24
2023-07-04 00:00:00,198.27
2023-07-03 00:00:00,198.22
2023-06-30 00:00:00,201.38
2023-06-29 00:00:00,208.09
2023-06-28 00:00:00,208.79
2023-06-27 00:00:00,212.76
2023-06-26 00:00:00,214.06
2023-06-23 00:00:00,211.73
2023-06-22 00:00:00,208.83
2023-06-21 00:00:00,209.45
2023-06-20 00:00:00,208.08
2023-06-19 00:00:00,203.14
2023-06-16 00:00:00,202.74
2023-06-15 00:00:00,207.03
2023-06-14 00:00:00,201.27
2023-06-13 00:00:00,200.73
2023-06-12 00:00:00,200.53
2023-06-09 00:00:00,198.93
2023-06-08 00:00:00,199.37
2023-06-07 00:00:00,199.78
2023-06-06 00:00:00,210.83
2023-06-05 00:00:00,214.9
2023-06-02 00:00:00,217.3
2023-06-01 00:00:00,218.38
2023-05-31 00:00:00,223.01
2023-05-30 00:00:00,220.24
2023-05-29 00:00:00,225.16
2023-05-26 00:00:00,226.98
2023-05-25 00:00:00,238.17
2023-05-24 00:00:00,240.45
2023-05-23 00:00:00,234.18
2023-05-22 00:00:00,241.03
2023-05-19 00:00:00,240.12
