Date,CISS
2/17/2012,0.316
2/24/2012,0.3995
3/2/2012,0.3398
3/9/2012,0.3859
3/16/2012,0.3643
3/23/2012,0.3026
3/30/2012,0.3358
4/6/2012,0.3142
4/13/2012,0.3555
4/20/2012,0.3597
4/27/2012,0.3918
5/4/2012,0.3513
5/11/2012,0.3412
5/18/2012,0.3773
5/25/2012,0.303
6/1/2012,0.4331
6/8/2012,0.4044
6/15/2012,0.3379
6/22/2012,0.3783
6/29/2012,0.4277
7/6/2012,0.4057
7/13/2012,0.387
7/20/2012,0.3837
7/27/2012,0.4352
8/3/2012,0.45
8/10/2012,0.3254
8/17/2012,0.2983
8/24/2012,0.3312
8/31/2012,0.2689
9/7/2012,0.2795
9/14/2012,0.2907
9/21/2012,0.2552
9/28/2012,0.2748
10/5/2012,0.233
10/12/2012,0.2151
10/19/2012,0.2631
10/26/2012,0.24
11/2/2012,0.1925
11/9/2012,0.1923
11/16/2012,0.1725
11/23/2012,0.1671
11/30/2012,0.1471
12/7/2012,0.1323
12/14/2012,0.1312
12/21/2012,0.1077
12/28/2012,0.0681
1/4/2013,0.1249
1/11/2013,0.1296
1/18/2013,0.1268
1/25/2013,0.1167
2/1/2013,0.1449
2/8/2013,0.1267
2/15/2013,0.1001
2/22/2013,0.1199
3/1/2013,0.1388
3/8/2013,0.1227
3/15/2013,0.0755
3/22/2013,0.132
3/29/2013,0.1112
4/5/2013,0.1335
4/12/2013,0.1278
4/19/2013,0.1321
4/26/2013,0.1085
5/3/2013,0.0965
5/10/2013,0.0748
5/17/2013,0.062
5/24/2013,0.0661
5/31/2013,0.0685
6/7/2013,0.065
6/14/2013,0.0679
6/21/2013,0.1015
6/28/2013,0.115
7/5/2013,0.0801
7/12/2013,0.0779
7/19/2013,0.0504
7/26/2013,0.069
8/2/2013,0.0494
8/9/2013,0.0469
8/16/2013,0.0468
8/23/2013,0.0445
8/30/2013,0.0491
9/6/2013,0.0533
9/13/2013,0.0447
9/20/2013,0.0334
9/27/2013,0.0248
10/4/2013,0.0406
10/11/2013,0.0396
10/18/2013,0.0336
10/25/2013,0.034
11/1/2013,0.0429
11/8/2013,0.0543
11/15/2013,0.0386
11/22/2013,0.043
11/29/2013,0.0315
12/6/2013,0.0737
12/13/2013,0.0535
12/20/2013,0.0627
12/27/2013,0.0336
1/3/2014,0.054
1/10/2014,0.0592
1/17/2014,0.0775
1/24/2014,0.0934
1/31/2014,0.0858
2/7/2014,0.1141
2/14/2014,0.0858
2/21/2014,0.0444
2/28/2014,0.0537
3/7/2014,0.1609
3/14/2014,0.1106
3/21/2014,0.0807
3/28/2014,0.1229
4/4/2014,0.0713
4/11/2014,0.0878
4/18/2014,0.0564
4/25/2014,0.0557
5/2/2014,0.0636
5/9/2014,0.0888
5/16/2014,0.0921
5/23/2014,0.0577
5/30/2014,0.0458
6/6/2014,0.0644
6/13/2014,0.0619
6/20/2014,0.0654
6/27/2014,0.07
7/4/2014,0.082
7/11/2014,0.0831
7/18/2014,0.0909
7/25/2014,0.1349
8/1/2014,0.1178
