Date,BBVA
2023-11-13 00:00:00,184.56
2023-11-10 00:00:00,186.305
2023-11-09 00:00:00,185.105
2023-11-08 00:00:00,182.85
2023-11-07 00:00:00,186.36
2023-11-06 00:00:00,187.145
2023-11-03 00:00:00,188.21
2023-11-02 00:00:00,191.765
2023-11-01 00:00:00,202.595
2023-10-31 00:00:00,202.305
2023-10-30 00:00:00,206.535
2023-10-27 00:00:00,207.58
2023-10-26 00:00:00,208.695
2023-10-25 00:00:00,207.735
2023-10-24 00:00:00,207.36
2023-10-23 00:00:00,213.245
2023-10-20 00:00:00,212.195
2023-10-19 00:00:00,208.59
2023-10-18 00:00:00,204.135
2023-10-17 00:00:00,200.22
2023-10-16 00:00:00,199.17
2023-10-13 00:00:00,200.12
2023-10-12 00:00:00,193.35
2023-10-11 00:00:00,195.15
2023-10-10 00:00:00,195.69
2023-10-09 00:00:00,206.775
2023-10-06 00:00:00,202.445
2023-10-05 00:00:00,198.65
2023-10-04 00:00:00,193.74
2023-10-03 00:00:00,194.74
2023-10-02 00:00:00,184.49
2023-09-29 00:00:00,180.815
2023-09-28 00:00:00,185.755
2023-09-27 00:00:00,180.875
2023-09-26 00:00:00,179.635
2023-09-25 00:00:00,175.835
2023-09-22 00:00:00,176.245
2023-09-21 00:00:00,175.56
2023-09-20 00:00:00,170.9
2023-09-19 00:00:00,159.62
2023-09-18 00:00:00,160.645
2023-09-15 00:00:00,158.35
2023-09-14 00:00:00,161.37
2023-09-13 00:00:00,163.93
2023-09-12 00:00:00,164.465
2023-09-11 00:00:00,164.02
2023-09-08 00:00:00,165.36
2023-09-07 00:00:00,166.14
2023-09-06 00:00:00,166.745
2023-09-05 00:00:00,163.545
2023-09-04 00:00:00,160.555
2023-09-01 00:00:00,161.675
2023-08-31 00:00:00,160.775
2023-08-30 00:00:00,161.94
2023-08-29 00:00:00,164
2023-08-28 00:00:00,171.175
2023-08-25 00:00:00,171.22
2023-08-24 00:00:00,169.495
2023-08-23 00:00:00,170
2023-08-22 00:00:00,170.3
2023-08-21 00:00:00,172.17
2023-08-18 00:00:00,171.74
2023-08-17 00:00:00,165.57
2023-08-16 00:00:00,163.57
2023-08-15 00:00:00,161.4
2023-08-14 00:00:00,161.21
2023-08-11 00:00:00,157.955
2023-08-10 00:00:00,156.79
2023-08-09 00:00:00,159.095
2023-08-08 00:00:00,164.22
2023-08-07 00:00:00,160.395
2023-08-04 00:00:00,159.965
2023-08-03 00:00:00,162.375
2023-08-02 00:00:00,161.905
2023-08-01 00:00:00,157.805
2023-07-31 00:00:00,158.63
2023-07-28 00:00:00,156.455
2023-07-27 00:00:00,156.375
2023-07-26 00:00:00,162.13
2023-07-25 00:00:00,160.66
2023-07-24 00:00:00,161.34
2023-07-21 00:00:00,157.605
2023-07-20 00:00:00,161.17
2023-07-19 00:00:00,153.04
2023-07-18 00:00:00,159.225
2023-07-17 00:00:00,159.78
2023-07-14 00:00:00,158.255
2023-07-13 00:00:00,156.085
2023-07-12 00:00:00,160.495
2023-07-11 00:00:00,171.105
2023-07-10 00:00:00,177.665
2023-07-07 00:00:00,179.175
2023-07-06 00:00:00,178.785
2023-07-05 00:00:00,173.965
2023-07-04 00:00:00,173.05
2023-07-03 00:00:00,173.42
2023-06-30 00:00:00,178.625
2023-06-29 00:00:00,185.92
2023-06-28 00:00:00,189.605
2023-06-27 00:00:00,193.84
2023-06-26 00:00:00,195.685
2023-06-23 00:00:00,192.87
2023-06-22 00:00:00,190.275
2023-06-21 00:00:00,189.755
2023-06-20 00:00:00,189.155
2023-06-19 00:00:00,182.595
2023-06-16 00:00:00,183.795
2023-06-15 00:00:00,186.975
2023-06-14 00:00:00,185.055
2023-06-13 00:00:00,182.61
2023-06-12 00:00:00,181.885
2023-06-09 00:00:00,181.865
2023-06-08 00:00:00,181.51
2023-06-07 00:00:00,180.395
2023-06-06 00:00:00,180.51
2023-06-05 00:00:00,183.9
2023-06-02 00:00:00,184.555
2023-06-01 00:00:00,190.58
2023-05-31 00:00:00,198.46
2023-05-30 00:00:00,194.24
2023-05-29 00:00:00,199.07
2023-05-26 00:00:00,200.69
2023-05-25 00:00:00,210.785
2023-05-24 00:00:00,213.39
2023-05-23 00:00:00,203.745
2023-05-22 00:00:00,205.315
2023-05-19 00:00:00,206.605
2023-05-18 00:00:00,211.93
2023-05-17 00:00:00,210.485
2023-05-16 00:00:00,208.565
2023-05-15 00:00:00,212.9
2023-05-12 00:00:00,207.47
2023-05-11 00:00:00,215.69
2023-05-10 00:00:00,217.92
2023-05-09 00:00:00,219.42
2023-05-08 00:00:00,215.2
2023-05-05 00:00:00,214.5
2023-05-04 00:00:00,220.77
2023-05-03 00:00:00,215.16
2023-05-02 00:00:00,208.71
2023-05-01 00:00:00,203.63
2023-04-28 00:00:00,202.43
2023-04-27 00:00:00,203.455
2023-04-26 00:00:00,205.43
2023-04-25 00:00:00,196.22
2023-04-24 00:00:00,193.905
2023-04-21 00:00:00,192.335
2023-04-20 00:00:00,189.235
2023-04-19 00:00:00,184.15
2023-04-18 00:00:00,180.155
2023-04-17 00:00:00,182.48
2023-04-14 00:00:00,184.48
2023-04-13 00:00:00,188.55
2023-04-12 00:00:00,189.095
2023-04-11 00:00:00,196.085
2023-04-10 00:00:00,204
2023-04-07 00:00:00,203.635
2023-04-06 00:00:00,202.76
2023-04-05 00:00:00,203.68
2023-04-04 00:00:00,192.23
2023-04-03 00:00:00,194.36
2023-03-31 00:00:00,197.915
2023-03-30 00:00:00,207.21
2023-03-29 00:00:00,219.38
2023-03-28 00:00:00,230.56
2023-03-27 00:00:00,232.505
2023-03-24 00:00:00,240.545
2023-03-23 00:00:00,229.77
2023-03-22 00:00:00,210.71
2023-03-21 00:00:00,210.455
2023-03-20 00:00:00,252.5
2023-03-17 00:00:00,275.41
2023-03-16 00:00:00,227.05
2023-03-15 00:00:00,224.01
2023-03-14 00:00:00,190.02
2023-03-13 00:00:00,196.1
2023-03-10 00:00:00,169.87
2023-03-09 00:00:00,160.21
2023-03-08 00:00:00,158.325
2023-03-07 00:00:00,157.92
2023-03-06 00:00:00,157.86
2023-03-03 00:00:00,162.325
2023-03-02 00:00:00,165.965
