Date,COMZ
2022-08-17 00:00:00,285.395
2022-08-16 00:00:00,275.675
2022-08-15 00:00:00,271.825
2022-08-12 00:00:00,272.365
2022-08-11 00:00:00,273.67
2022-08-10 00:00:00,281.38
2022-08-09 00:00:00,289.015
2022-08-08 00:00:00,286.41
2022-08-05 00:00:00,296.68
2022-08-04 00:00:00,301.745
2022-08-03 00:00:00,317.23
2022-08-02 00:00:00,325.71
2022-08-01 00:00:00,321.385
2022-07-29 00:00:00,322.7
2022-07-28 00:00:00,330.81
2022-07-27 00:00:00,336.925
2022-07-26 00:00:00,345.885
2022-07-25 00:00:00,327.39
2022-07-22 00:00:00,330.54
2022-07-21 00:00:00,338
2022-07-20 00:00:00,341.765
2022-07-19 00:00:00,359.095
2022-07-18 00:00:00,374.56
2022-07-15 00:00:00,377.83
2022-07-14 00:00:00,381.195
2022-07-13 00:00:00,371.04
2022-07-12 00:00:00,372.93
2022-07-11 00:00:00,363.82
2022-07-08 00:00:00,358.495
2022-07-07 00:00:00,362.735
2022-07-06 00:00:00,367.22
2022-07-05 00:00:00,367.73
2022-07-04 00:00:00,357.26
2022-07-01 00:00:00,354.57
2022-06-30 00:00:00,351.965
2022-06-29 00:00:00,340.165
2022-06-28 00:00:00,335.685
2022-06-27 00:00:00,329.03
2022-06-24 00:00:00,336.515
2022-06-23 00:00:00,340.7
2022-06-22 00:00:00,323.605
2022-06-21 00:00:00,319.68
2022-06-20 00:00:00,329.385
2022-06-17 00:00:00,339.47
2022-06-16 00:00:00,342.305
2022-06-15 00:00:00,329.09
2022-06-14 00:00:00,338.62
2022-06-13 00:00:00,322.87
2022-06-10 00:00:00,306
2022-06-09 00:00:00,286.25
2022-06-08 00:00:00,280.845
2022-06-07 00:00:00,276.565
2022-06-06 00:00:00,272.335
2022-06-03 00:00:00,278.14
2022-06-02 00:00:00,277.995
2022-06-01 00:00:00,278.295
2022-05-31 00:00:00,277.345
2022-05-30 00:00:00,270.225
2022-05-27 00:00:00,275.45
2022-05-26 00:00:00,283.545
2022-05-25 00:00:00,299.43
2022-05-24 00:00:00,301.955
2022-05-23 00:00:00,297.69
2022-05-20 00:00:00,300.725
2022-05-19 00:00:00,297.93
2022-05-18 00:00:00,291.465
2022-05-17 00:00:00,282.03
2022-05-16 00:00:00,293.35
2022-05-13 00:00:00,290.55
2022-05-12 00:00:00,296.395
2022-05-11 00:00:00,287.855
2022-05-10 00:00:00,295.07
2022-05-09 00:00:00,299.765
2022-05-06 00:00:00,292.95
2022-05-05 00:00:00,281.635
2022-05-04 00:00:00,281.385
2022-05-03 00:00:00,276.17
2022-05-02 00:00:00,277.74
2022-04-29 00:00:00,277.7
2022-04-28 00:00:00,267.43
2022-04-27 00:00:00,266.49
2022-04-26 00:00:00,260.135
2022-04-25 00:00:00,251.145
2022-04-22 00:00:00,241.49
2022-04-21 00:00:00,237.285
2022-04-20 00:00:00,238.465
2022-04-19 00:00:00,242.2
2022-04-18 00:00:00,237.335
2022-04-15 00:00:00,237.335
2022-04-14 00:00:00,237.33
2022-04-13 00:00:00,234.805
2022-04-12 00:00:00,232.03
2022-04-11 00:00:00,228.25
2022-04-08 00:00:00,228.51
2022-04-07 00:00:00,226.255
2022-04-06 00:00:00,227.505
2022-04-05 00:00:00,224.46
2022-04-04 00:00:00,218.4
2022-04-01 00:00:00,219.39
2022-03-31 00:00:00,218.78
2022-03-30 00:00:00,215.725
2022-03-29 00:00:00,214.85
2022-03-28 00:00:00,233.875
2022-03-25 00:00:00,235.6
2022-03-24 00:00:00,238.325
2022-03-23 00:00:00,236.675
2022-03-22 00:00:00,232.64
2022-03-21 00:00:00,234.515
2022-03-18 00:00:00,222.185
2022-03-17 00:00:00,220.585
2022-03-16 00:00:00,225.385
2022-03-15 00:00:00,245.255
2022-03-14 00:00:00,241.205
2022-03-11 00:00:00,238.84
2022-03-10 00:00:00,242.93
2022-03-09 00:00:00,239.455
2022-03-08 00:00:00,263.785
2022-03-07 00:00:00,270.81
2022-03-04 00:00:00,241.465
2022-03-03 00:00:00,222.33
2022-03-02 00:00:00,221.29
2022-03-01 00:00:00,218.09
2022-02-28 00:00:00,212.855
2022-02-25 00:00:00,201.565
2022-02-24 00:00:00,218.32
2022-02-23 00:00:00,206.055
2022-02-22 00:00:00,207.74
2022-02-21 00:00:00,211.345
2022-02-18 00:00:00,203.28
2022-02-17 00:00:00,199.03
2022-02-16 00:00:00,194.99
2022-02-15 00:00:00,195.78
2022-02-14 00:00:00,202.865
2022-02-11 00:00:00,195.835
2022-02-10 00:00:00,189.285
2022-02-09 00:00:00,182.355
2022-02-08 00:00:00,187.67
2022-02-07 00:00:00,194.59
2022-02-04 00:00:00,187.83
2022-02-03 00:00:00,177.82
2022-02-02 00:00:00,168.2
2022-02-01 00:00:00,171.605
2022-01-31 00:00:00,176.79
2022-01-28 00:00:00,177.24
2022-01-27 00:00:00,170.955
2022-01-26 00:00:00,169.29
2022-01-25 00:00:00,171.555
2022-01-24 00:00:00,173.315
2022-01-21 00:00:00,166.96
2022-01-20 00:00:00,161.96
2022-01-19 00:00:00,161.545
2022-01-18 00:00:00,161.435
2022-01-17 00:00:00,157.46
2022-01-14 00:00:00,155.125
2022-01-13 00:00:00,151.7
2022-01-12 00:00:00,150.095
2022-01-11 00:00:00,152.7
2022-01-10 00:00:00,152.935
2022-01-07 00:00:00,148.44
2022-01-06 00:00:00,146.05
2022-01-05 00:00:00,142.04
2022-01-04 00:00:00,140.57
2022-01-03 00:00:00,142.01
2021-12-31 00:00:00,142.02
2021-12-30 00:00:00,142.385
2021-12-29 00:00:00,143.505
2021-12-28 00:00:00,144.135
2021-12-27 00:00:00,144.125
2021-12-24 00:00:00,144.13
2021-12-23 00:00:00,144.405
2021-12-22 00:00:00,147.315
2021-12-21 00:00:00,147.77
2021-12-20 00:00:00,150.065
2021-12-17 00:00:00,146.595
2021-12-16 00:00:00,145.35
2021-12-15 00:00:00,149.605
2021-12-14 00:00:00,152.4
2021-12-13 00:00:00,149.795
2021-12-10 00:00:00,155.085
2021-12-09 00:00:00,155.26
2021-12-08 00:00:00,158.795
