Date,INGB
2023-10-31 00:00:00,109.305
2023-10-30 00:00:00,109.43
2023-10-27 00:00:00,109.43
2023-10-26 00:00:00,112.08
2023-10-25 00:00:00,112.22
2023-10-24 00:00:00,108.55
2023-10-23 00:00:00,110.64
2023-10-20 00:00:00,112
2023-10-19 00:00:00,111.915
2023-10-18 00:00:00,110.54
2023-10-17 00:00:00,109.4
2023-10-16 00:00:00,109.89
2023-10-13 00:00:00,108.09
2023-10-12 00:00:00,106.41
2023-10-11 00:00:00,108.305
2023-10-10 00:00:00,110.165
2023-10-09 00:00:00,107.345
2023-10-06 00:00:00,108.07
2023-10-05 00:00:00,108.395
2023-10-04 00:00:00,108.055
2023-10-03 00:00:00,105.89
2023-10-02 00:00:00,105.105
2023-09-29 00:00:00,105.755
2023-09-28 00:00:00,105.395
2023-09-27 00:00:00,103.97
2023-09-26 00:00:00,108.195
2023-09-25 00:00:00,105.665
2023-09-22 00:00:00,106.135
2023-09-21 00:00:00,102.205
2023-09-20 00:00:00,102.465
2023-09-19 00:00:00,94.95
2023-09-18 00:00:00,92.45
2023-09-15 00:00:00,95
2023-09-14 00:00:00,95.49
2023-09-13 00:00:00,96.36
2023-09-12 00:00:00,96.17
2023-09-11 00:00:00,95.53
2023-09-08 00:00:00,95.775
2023-09-07 00:00:00,95.085
2023-09-06 00:00:00,94.125
2023-09-05 00:00:00,94.635
2023-09-04 00:00:00,94.295
2023-09-01 00:00:00,94.06
2023-08-31 00:00:00,95.66
2023-08-30 00:00:00,95.66
2023-08-29 00:00:00,94.725
2023-08-28 00:00:00,98.33
2023-08-25 00:00:00,97.36
2023-08-24 00:00:00,98.76
2023-08-23 00:00:00,99.1
2023-08-22 00:00:00,98.105
2023-08-21 00:00:00,98.62
2023-08-18 00:00:00,100.7
2023-08-17 00:00:00,99.075
2023-08-16 00:00:00,98.115
2023-08-15 00:00:00,97.3
2023-08-14 00:00:00,96.215
2023-08-11 00:00:00,93.85
2023-08-10 00:00:00,93.675
2023-08-09 00:00:00,94.525
2023-08-08 00:00:00,94.885
2023-08-07 00:00:00,95.185
2023-08-04 00:00:00,96.37
2023-08-03 00:00:00,95.765
2023-08-02 00:00:00,95.465
2023-08-01 00:00:00,95.005
2023-07-31 00:00:00,94.63
2023-07-28 00:00:00,95.41
2023-07-27 00:00:00,94.93
2023-07-26 00:00:00,95.205
2023-07-25 00:00:00,95.715
2023-07-24 00:00:00,95.73
2023-07-21 00:00:00,94.205
2023-07-20 00:00:00,95.305
2023-07-19 00:00:00,94.23
2023-07-18 00:00:00,95.045
2023-07-17 00:00:00,94.52
2023-07-14 00:00:00,93.955
2023-07-13 00:00:00,91.04
2023-07-12 00:00:00,94.315
2023-07-11 00:00:00,95.63
2023-07-10 00:00:00,95.53
2023-07-07 00:00:00,95.68
2023-07-06 00:00:00,95.7
2023-07-05 00:00:00,95.75
2023-07-04 00:00:00,96.2
2023-07-03 00:00:00,92.93
2023-06-30 00:00:00,95.545
2023-06-29 00:00:00,95.28
2023-06-28 00:00:00,95.41
2023-06-27 00:00:00,95.495
2023-06-26 00:00:00,95.205
2023-06-23 00:00:00,95.59
2023-06-22 00:00:00,95.49
2023-06-21 00:00:00,95.405
2023-06-20 00:00:00,95.565
2023-06-19 00:00:00,95.65
2023-06-16 00:00:00,90.505
2023-06-15 00:00:00,95.86
2023-06-14 00:00:00,94.825
2023-06-13 00:00:00,95.915
2023-06-12 00:00:00,94.035
2023-06-09 00:00:00,92.6
2023-06-08 00:00:00,92.675
2023-06-07 00:00:00,93.735
2023-06-06 00:00:00,92.815
2023-06-05 00:00:00,92.98
2023-06-02 00:00:00,96.07
2023-06-01 00:00:00,95.065
2023-05-31 00:00:00,94.025
2023-05-30 00:00:00,92.315
2023-05-29 00:00:00,92.565
2023-05-26 00:00:00,92.465
2023-05-25 00:00:00,97.425
2023-05-24 00:00:00,96.175
2023-05-23 00:00:00,90.235
2023-05-22 00:00:00,94.795
2023-05-19 00:00:00,94.895
2023-05-18 00:00:00,94.185
2023-05-17 00:00:00,97.75
2023-05-16 00:00:00,97.67
2023-05-15 00:00:00,95.77
2023-05-12 00:00:00,98.74
2023-05-11 00:00:00,99.295
2023-05-10 00:00:00,99.3
2023-05-09 00:00:00,97.105
2023-05-08 00:00:00,96.03
2023-05-05 00:00:00,96.08
2023-05-04 00:00:00,99.055
2023-05-03 00:00:00,96.61
2023-05-02 00:00:00,99.995
2023-05-01 00:00:00,98.585
2023-04-28 00:00:00,98.22
2023-04-27 00:00:00,95.13
2023-04-26 00:00:00,93.86
2023-04-25 00:00:00,89.75
2023-04-24 00:00:00,91.105
2023-04-21 00:00:00,91.04
2023-04-20 00:00:00,89.465
2023-04-19 00:00:00,90.565
2023-04-18 00:00:00,88.155
2023-04-17 00:00:00,90.655
2023-04-14 00:00:00,90.57
2023-04-13 00:00:00,93.26
2023-04-12 00:00:00,92.87
2023-04-11 00:00:00,95.035
2023-04-10 00:00:00,95.065
2023-04-07 00:00:00,94.59
2023-04-06 00:00:00,94.74
2023-04-05 00:00:00,95.605
2023-04-04 00:00:00,90.76
2023-04-03 00:00:00,94.035
2023-03-31 00:00:00,91.91
2023-03-30 00:00:00,92.81
2023-03-29 00:00:00,92.75
2023-03-28 00:00:00,93.5
2023-03-27 00:00:00,93.89
2023-03-24 00:00:00,91.605
2023-03-23 00:00:00,90.02
2023-03-22 00:00:00,85.645
2023-03-21 00:00:00,87.73
2023-03-20 00:00:00,89.22
2023-03-17 00:00:00,88.955
2023-03-16 00:00:00,89.2
2023-03-15 00:00:00,92.35
2023-03-14 00:00:00,90.115
2023-03-13 00:00:00,91.24
2023-03-10 00:00:00,87.225
2023-03-09 00:00:00,83.53
2023-03-08 00:00:00,83.495
2023-03-07 00:00:00,83.785
2023-03-06 00:00:00,84.52
2023-03-03 00:00:00,84.835
2023-03-02 00:00:00,86.385
2023-03-01 00:00:00,86.075
2023-02-28 00:00:00,85.9
2023-02-27 00:00:00,85.99
2023-02-24 00:00:00,86.555
2023-02-23 00:00:00,85.7
2023-02-22 00:00:00,86.49
2023-02-21 00:00:00,85.72
2023-02-20 00:00:00,84.265
2023-02-17 00:00:00,84.1
2023-02-16 00:00:00,82.605
2023-02-15 00:00:00,82.93
2023-02-14 00:00:00,82.96
2023-02-13 00:00:00,84.135
2023-02-10 00:00:00,82.145
2023-02-09 00:00:00,81.53
2023-02-08 00:00:00,82.275
2023-02-07 00:00:00,81.745
2023-02-06 00:00:00,82.505
2023-02-03 00:00:00,82.17
2023-02-02 00:00:00,83.895
2023-02-01 00:00:00,84.8
2023-01-31 00:00:00,84.985
2023-01-30 00:00:00,85.085
2023-01-27 00:00:00,84.015
2023-01-26 00:00:00,83.93
2023-01-25 00:00:00,84.945
2023-01-24 00:00:00,85.335
2023-01-23 00:00:00,84.345
2023-01-20 00:00:00,85.105
2023-01-19 00:00:00,84.61
2023-01-18 00:00:00,84.085
2023-01-17 00:00:00,84.545
2023-01-16 00:00:00,83.215
2023-01-13 00:00:00,82.78
2023-01-12 00:00:00,83.265
2023-01-11 00:00:00,83.38
2023-01-10 00:00:00,83.23
2023-01-09 00:00:00,83.825
2023-01-06 00:00:00,84.47
2023-01-05 00:00:00,85.18
2023-01-04 00:00:00,86.445
2023-01-03 00:00:00,86.96
2023-01-02 00:00:00,88.355
2022-12-30 00:00:00,88.82
2022-12-29 00:00:00,89.95
2022-12-28 00:00:00,89.31
2022-12-27 00:00:00,89.255
2022-12-26 00:00:00,89.075
2022-12-23 00:00:00,89.185
2022-12-22 00:00:00,89.725
2022-12-21 00:00:00,89.2
2022-12-20 00:00:00,89.655
2022-12-19 00:00:00,88.99
2022-12-16 00:00:00,89.13
2022-12-15 00:00:00,87.38
2022-12-14 00:00:00,84.475
2022-12-13 00:00:00,85.24
2022-12-12 00:00:00,86.145
2022-12-09 00:00:00,85.31
2022-12-08 00:00:00,85.52
2022-12-07 00:00:00,86.415
2022-12-06 00:00:00,86.76
2022-12-05 00:00:00,85.23
2022-12-02 00:00:00,85.99
2022-12-01 00:00:00,85.015
2022-11-30 00:00:00,85.95
2022-11-29 00:00:00,85.955
2022-11-28 00:00:00,85.975
2022-11-25 00:00:00,81.365
2022-11-24 00:00:00,84.7
2022-11-23 00:00:00,86.75
2022-11-22 00:00:00,85.935
2022-11-21 00:00:00,87.895
2022-11-18 00:00:00,87.825
2022-11-17 00:00:00,86.805
2022-11-16 00:00:00,85.15
2022-11-15 00:00:00,85.3
2022-11-14 00:00:00,85.675
2022-11-11 00:00:00,85.515
2022-11-10 00:00:00,85.305
2022-11-09 00:00:00,86.4
2022-11-08 00:00:00,86.695
2022-11-07 00:00:00,86.025
2022-11-04 00:00:00,84.175
2022-11-03 00:00:00,86.71
2022-11-02 00:00:00,85.355
2022-11-01 00:00:00,86.305
2022-10-31 00:00:00,85.335
2022-10-28 00:00:00,85.38
2022-10-27 00:00:00,85.585
2022-10-26 00:00:00,85.69
2022-10-25 00:00:00,87.16
2022-10-24 00:00:00,88.19
2022-10-21 00:00:00,87.71
2022-10-20 00:00:00,87.29
2022-10-19 00:00:00,88.66
2022-10-18 00:00:00,85.15
2022-10-17 00:00:00,87.65
2022-10-14 00:00:00,88.765
2022-10-13 00:00:00,90.215
2022-10-12 00:00:00,91.895
2022-10-11 00:00:00,90.665
2022-10-10 00:00:00,90.97
2022-10-07 00:00:00,86.075
2022-10-06 00:00:00,79.12
2022-10-05 00:00:00,88.835
2022-10-04 00:00:00,87.4
2022-10-03 00:00:00,91.105
2022-09-30 00:00:00,90.03
2022-09-29 00:00:00,95.68
2022-09-28 00:00:00,89.6
2022-09-27 00:00:00,88.42
2022-09-26 00:00:00,89.575
2022-09-23 00:00:00,87.67
2022-09-22 00:00:00,87.595
2022-09-21 00:00:00,87.13
2022-09-20 00:00:00,87.075
2022-09-19 00:00:00,75.635
2022-09-16 00:00:00,75.56
2022-09-15 00:00:00,74.91
2022-09-14 00:00:00,74.405
2022-09-13 00:00:00,75.275
2022-09-12 00:00:00,72.8
2022-09-09 00:00:00,69.86
2022-09-08 00:00:00,76.345
2022-09-07 00:00:00,72.53
2022-09-06 00:00:00,75.69
2022-09-05 00:00:00,73.615
2022-09-02 00:00:00,74.74
2022-09-01 00:00:00,77.04
2022-08-31 00:00:00,74.675
2022-08-30 00:00:00,71.675
2022-08-29 00:00:00,70.71
2022-08-26 00:00:00,71.095
2022-08-25 00:00:00,71.44
2022-08-24 00:00:00,71.04
2022-08-23 00:00:00,72.44
2022-08-22 00:00:00,70.05
2022-08-19 00:00:00,66.795
2022-08-18 00:00:00,68.66
2022-08-17 00:00:00,68.815
2022-08-16 00:00:00,68.485
2022-08-15 00:00:00,69.195
2022-08-12 00:00:00,66.89
2022-08-11 00:00:00,68.265
2022-08-10 00:00:00,69.59
2022-08-09 00:00:00,71.66
2022-08-08 00:00:00,68.455
2022-08-05 00:00:00,68.45
2022-08-04 00:00:00,68.975
2022-08-03 00:00:00,71.195
2022-08-02 00:00:00,68.435
2022-08-01 00:00:00,71.54
2022-07-29 00:00:00,69.035
2022-07-28 00:00:00,68.635
2022-07-27 00:00:00,72.55
2022-07-26 00:00:00,72.415
2022-07-25 00:00:00,71.385
2022-07-22 00:00:00,77.285
2022-07-21 00:00:00,71.47
2022-07-20 00:00:00,74.2
2022-07-19 00:00:00,74.44
2022-07-18 00:00:00,77.765
2022-07-15 00:00:00,79.985
2022-07-14 00:00:00,84.595
2022-07-13 00:00:00,78.09
2022-07-12 00:00:00,81.54
2022-07-11 00:00:00,80.87
2022-07-08 00:00:00,80.15
2022-07-07 00:00:00,81.12
2022-07-06 00:00:00,82.565
2022-07-05 00:00:00,81.105
2022-07-04 00:00:00,78.77
2022-07-01 00:00:00,77.985
2022-06-30 00:00:00,77.215
2022-06-29 00:00:00,74.84
2022-06-28 00:00:00,73.47
2022-06-27 00:00:00,74.93
2022-06-24 00:00:00,76.285
2022-06-23 00:00:00,77.695
2022-06-22 00:00:00,76.34
2022-06-21 00:00:00,75.43
2022-06-20 00:00:00,79.065
2022-06-17 00:00:00,76.745
2022-06-16 00:00:00,78.365
2022-06-15 00:00:00,79.33
2022-06-14 00:00:00,76.645
2022-06-13 00:00:00,74.225
2022-06-10 00:00:00,69.395
2022-06-09 00:00:00,66.88
2022-06-08 00:00:00,67.005
2022-06-07 00:00:00,65.625
2022-06-06 00:00:00,65.135
2022-06-03 00:00:00,66.795
2022-06-02 00:00:00,66.665
2022-06-01 00:00:00,66.93
2022-05-31 00:00:00,65.61
2022-05-30 00:00:00,66.1
2022-05-27 00:00:00,67.45
2022-05-26 00:00:00,69.965
2022-05-25 00:00:00,72.38
2022-05-24 00:00:00,73.39
2022-05-23 00:00:00,74.495
2022-05-20 00:00:00,72.045
2022-05-19 00:00:00,73.96
2022-05-18 00:00:00,69
2022-05-17 00:00:00,69.99
2022-05-16 00:00:00,71.46
2022-05-13 00:00:00,72.755
2022-05-12 00:00:00,72.61
2022-05-11 00:00:00,70.47
2022-05-10 00:00:00,74.495
2022-05-09 00:00:00,74.795
2022-05-06 00:00:00,73.515
2022-05-05 00:00:00,69.81
2022-05-04 00:00:00,70.14
2022-05-03 00:00:00,70.145
2022-05-02 00:00:00,66.94
2022-04-29 00:00:00,68.13
2022-04-28 00:00:00,66.675
2022-04-27 00:00:00,66.895
2022-04-26 00:00:00,64.345
2022-04-25 00:00:00,64.46
2022-04-22 00:00:00,64.81
2022-04-21 00:00:00,64.315
2022-04-20 00:00:00,63.285
2022-04-19 00:00:00,65.345
2022-04-18 00:00:00,67.845
2022-04-15 00:00:00,67.535
2022-04-14 00:00:00,67.545
2022-04-13 00:00:00,64.915
2022-04-12 00:00:00,64.755
2022-04-11 00:00:00,64.72
2022-04-08 00:00:00,66.56
2022-04-07 00:00:00,64.745
2022-04-06 00:00:00,65.625
2022-04-05 00:00:00,64.89
2022-04-04 00:00:00,63.035
2022-04-01 00:00:00,65.055
2022-03-31 00:00:00,63.465
2022-03-30 00:00:00,60.305
2022-03-29 00:00:00,60.345
2022-03-28 00:00:00,62.91
2022-03-25 00:00:00,63.915
2022-03-24 00:00:00,65.405
2022-03-23 00:00:00,64.045
2022-03-22 00:00:00,63.025
2022-03-21 00:00:00,65.195
2022-03-18 00:00:00,60.41
2022-03-17 00:00:00,59.975
2022-03-16 00:00:00,59.745
2022-03-15 00:00:00,62.705
2022-03-14 00:00:00,64.81
2022-03-11 00:00:00,64.745
