ERST,KBCB,DANK,NORD,BNP,CRAG,CRMU,SOCG,BAY,COMZ,DB,DZ,HESLN,LBBW,INTE,UNIC,ABN,INGB,RABO,BBVA,CAIX,SAB,SANT,SEB,SWED,SWEN,VB
34.25,68.4,21.58346,10.2787695,60.02,11.286,,24.715,,10.875,10.08,,,,2.6095,22.435,15.46,13.28,,7.21,3.6690001,1.119,3.6835,11.009885,16.655094,7.9758005,
34.31,68.8,21.52395,10.263924,60.18,11.326,,24.725,,10.815,10.112,,,,2.573,22.59,15.595,13.248,,7.332,3.699,1.1365,3.6775,11.001374,16.512842,7.96101,
34.29,68.08,21.645306,10.275168,59.85,11.152,,24.545,,10.87,10.198,,,,2.539,22.555,15.135,13.214,,7.22,3.76,1.16,3.708,11.124349,16.931562,8.066779,
34.49,67.72,21.472046,10.201219,58.12,11.126,,24.405,,10.995,10.55,,,,2.539,22.49,15.225,13.1,,7.112,3.803,1.1435,3.649,10.979278,16.758528,7.9707823,
34.59,68.62,21.728447,10.439935,58.59,11.168,,24.66,,11.065,10.408,,,,2.536,22.38,15.585,13.28,,7.13,3.826,1.1385,3.538,11.127093,17.104855,8.068015,
34.39,67.18,21.741821,10.393597,58.37,11.198,,24.51,,11.205,10.274,,,,2.5310001,22.205,15.645,13.312,,7.118,3.788,1.115,3.52,10.926468,16.72817,7.9219055,
33.64,66.54,22.178757,10.351382,58.01,11.118,,23.995,,11.16,10.198,,,,2.522,22.205,15.4,13.274,,7.126,3.809,1.1235,3.5285,10.807528,16.574135,7.827034,
33.43,65.94,21.821955,10.289327,58.05,11.124,,24.105,,11.21,10.12,,,,2.492,21.975,15.39,13.176,,7.1940002,3.823,1.1265,3.525,10.826298,16.526178,7.8390737,
33.54,65.36,22.030527,10.255339,57.96,11.116,,23.9,,11.095,10.054,,,,2.466,22.07,15.245,13.08,,7.104,3.812,1.1285,3.498,10.787767,16.494846,7.9655485,
33.18,66.34,22.320057,10.296523,57.61,11.038,,23.865,,11.15,9.898,,,,2.435,22.02,15.24,13.02,,7.162,3.85,1.1335,3.51,10.823298,16.86289,8.1440735,
32.97,66.5,22.212889,10.319927,56.71,10.97,,23.82,,11.135,9.837,,,,2.4305,21.79,15.1,12.89,,7.098,3.826,1.125,3.4485,10.708378,16.461422,8.044723,
33.02,66,21.997406,10.139123,56.65,10.986,,23.915,,11.05,9.61,,,,2.444,21.95,15,12.866,,7.08,3.8,1.1205,3.4605,10.699992,16.343466,7.973907,
32.51,66.22,22.330551,10.187559,57.01,11.004,,24.2,,11.235,9.593,,,,2.408,21.68,15.17,12.954,,7.092,3.8109999,1.1295,3.4905,10.832608,16.498693,8.054342,
31.69,66.74,22.147713,9.967543,56.7,10.868,,23.72,,10.91,9.443,,,,2.3805,21.28,15.12,12.85,,7.106,3.82,1.124,3.4735,10.557076,16.13644,7.8916206,
31.65,66.02,22.286366,9.829086,56.16,10.734,,23.535,,10.88,9.477,,,,2.3569999,21.295,14.845,12.65,,6.942,3.793,1.1105,3.3345,10.29795,15.741029,7.6706085,
31.79,64.5,22.047934,9.721683,55.35,10.602,,23.245,,10.495,9.426,,,,2.349,21.28,14.73,12.296,,6.8780003,3.6890001,1.0865,3.276,10.093067,15.289081,7.516956,
31.77,64.42,22.193045,9.7493105,55.12,10.592,,23.305,,10.3,9.276,,,,2.3404999,20.845,14.725,12.378,,6.894,3.692,1.0915,3.264,10.162203,15.470817,7.6528296,
32.14,64.3,22.21688,9.724893,54.76,10.494,,23.065,,10.04,9.082,,,,2.409,21.35,14.385,12.222,,6.84,3.67,1.0585,3.2445,10.076284,15.34715,7.6534476,
32.4,64.52,22.609488,9.919792,57.34,10.818,,23.935,,10.215,9.494,,,,2.4205,21.13,14.51,12.49,,6.958,3.691,1.071,3.3475,10.321854,15.769968,7.7709537,
32.41,64.28,22.658827,9.951409,57.89,10.866,,23.995,,10.13,9.631,,,,2.437,21.49,14.525,12.552,,7.024,3.7189999,1.077,3.3805,10.274805,15.732632,7.825997,
32.09,64.54,22.718191,10.048997,58.43,10.932,,24.06,,10.215,9.73,,,,2.4,21.265,14.54,12.536,,7.09,3.821,1.086,3.44,10.147003,15.550008,7.749235,
31.21,63.92,22.294113,9.953991,57.72,10.872,,23.8,,10.15,9.618,,,,2.386,21.12,14.23,12.338,,7.032,3.787,1.054,3.385,10.11098,15.431656,7.6661844,
31,62.86,22.042515,9.797329,56.79,10.796,,23.55,,9.98,9.518,,,,2.3635,20.57,14.11,12.184,,6.958,3.782,1.046,3.3415,10.006341,15.295105,7.5870495,
30.76,62,21.672194,9.687175,55.86,10.654,,23.125,,9.82,9.38,,,,2.3615,20.58,13.945,12.016,,6.854,3.712,1.031,3.31,9.86107,15.099099,7.5342813,
30.75,62.12,21.451632,9.605549,55.67,10.596,,23.05,,9.796,9.343,,,,2.332,20.29,13.965,11.976,,6.784,3.723,1.026,3.1955,9.80297,15.240556,7.5547543,
30.43,61.32,21.65436,9.633154,55.23,10.448,,22.785,,9.592,9.178,,,,2.335,20.145,13.845,11.844,,6.748,3.629,1.009,3.0835,9.889273,15.439943,7.591056,
30.96,60.74,21.352428,9.57565,54.85,10.47,,22.7,,9.62,9.165,,,,2.379,20.255,13.475,11.702,,6.652,3.65,0.9946,3.066,9.788044,15.208787,7.559185,
31.4,62.28,21.781744,9.915967,55.72,10.624,,22.675,,10.225,9.3,,,,2.406,20.55,13.9,12.012,,6.732,3.712,1.0165,3.156,10.202596,15.952218,7.9573417,
31.5,63.4,22.386986,9.780276,57.04,10.824,,23.195,,10.395,9.436,,,,2.3865,19.9,14.09,12.298,,6.77,3.784,1.035,3.204,10.063947,15.644209,7.805592,
31.61,63.34,22.078537,9.801868,56.73,10.814,,23.26,,10.195,9.326,,,,2.3945,19.696,14.105,12.244,,6.74,3.704,1.0185,3.193,10.196431,15.62913,7.782182,
31.89,63.42,21.931591,9.925121,56.81,10.866,,23.34,,10.235,9.405,,,,2.373,19.258,14.125,12.3,,6.798,3.7480001,1.024,3.212,10.403565,16.014091,7.909807,
31.77,63.4,22.034235,9.729387,56.57,10.834,,23.23,,10.25,9.509,,,,2.358,18.846,14.14,12.288,,6.79,3.75,1.0205,3.2205,10.23397,15.426427,7.7283077,
32.15,63.14,21.752047,9.707966,56.29,10.844,,23.09,,10.12,9.636,,,,2.35,19.122,13.98,12.222,,6.734,3.697,1.0015,3.194,10.235498,15.139558,7.749796,
31.8,63.64,21.73788,9.858623,57.52,10.96,,23.515,,10.185,9.93,,,,2.312,18.516,14.045,12.312,,6.776,3.661,1.019,3.25,10.295342,15.337076,7.8384695,
31.43,62.34,21.69668,9.753887,56.68,10.854,,23.26,,10.09,9.86,,,,2.306,18.51,14.03,12.174,,6.532,3.595,0.9976,3.192,10.180739,15.232382,7.7590485,
31.47,61.96,21.603243,9.71891,56.43,10.79,,23.305,,9.912,9.856,,,,2.3095,18.35,13.55,12.054,,6.554,3.608,0.9956,3.189,10.236531,15.391279,7.9385695,
31.65,62.44,21.558071,9.729593,56.07,10.832,,23.325,,9.824,9.843,,,,2.324,18.658,13.645,12.084,,6.51,3.598,0.9992,3.2015,10.17255,15.220196,7.7603254,
