ERST,KBCB,DANK,NORD,BNP,CRAG,CRMU,SOCG,BAY,COMZ,DB,DZ,HESLN,LBBW,INTE,UNIC,ABN,INGB,RABO,BBVA,CAIX,SAB,SANT,SEB,SWED,SWEN,VB
14355.32025,26423.51005,138466.8571,428666.6594,72183.71521,34598.16744,,20855.45124,,12667.59751,20131.07733,,,,44408.91654,42454.51508,5884.675424,46945.07113,,42295.2055,28283.03504,6136.204614,57558.91629,271148.4765,219609.113,184338.6378,
14488.5572,27065.94973,137475.3368,429167.7705,72554.01376,34791.82559,,20929.31955,,12642.55097,20239.21113,,,,44701.44191,43318.16062,6157.877066,47075.37102,,42426.44494,28590.62159,6133.391335,57728.84909,270932.0658,217854.5007,184713.4867,
14441.27893,27224.47614,138897.9494,432961.9055,73664.91415,35039.94891,,21019.60339,,12717.69176,20353.46424,,,,44600.88945,42988.22824,6157.877066,47379.41215,,42963.33843,28665.64462,6200.914709,58206.28153,273293.2905,220571.3248,188627.6043,
14626.09306,27024.23342,139199.7061,436040.1752,73504.44971,34949.17265,,20958.04594,,12893.02227,20282.05605,,,,44573.46288,43376.38529,6123.184833,47408.36614,,42832.09615,28800.68214,6127.764108,58141.54578,274163.7786,222665.5251,188839.8174,
14561.62405,26790.61957,142088.0299,435467.4885,74430.19846,35070.20863,,20994.9801,,12611.24131,20426.91351,,,,43741.5948,43104.67387,6222.925312,48023.68345,,42748.57989,28703.15435,6133.391335,59031.67492,274793.704,222948.5265,189847.4573,
14544.43165,28467.63917,140018.7789,428809.8379,72270.11805,34791.82559,,20884.17763,,12513.55733,20129.03821,,,,42745.18474,41299.7536,6244.607647,46930.59067,,41221.41852,28313.04318,6063.054013,57445.62776,270946.5575,218646.9013,186145.5672,
14875.37784,28392.54855,139027.2718,423011.2311,71294.9949,34840.2394,,20613.32767,,12468.47333,19810.76002,,,,46803.96395,43910.09845,6379.040358,46771.33334,,40768.04413,28050.46972,6001.157195,57016.7481,269018.1538,216043.3019,184413.0179,
14858.18545,28993.27351,140967.1872,427378.0801,73504.44971,35717.75097,,20970.3568,,12899.2842,20602.37337,,,,46502.29784,43337.56884,6480.94874,47770.31872,,41567.41648,28470.58904,6133.391335,58602.79525,271413.1918,218420.5036,187167.3078,
14828.09958,28768.00165,140061.8907,423870.2748,73183.52555,35899.30638,,20843.14037,,13375.18026,20520.76372,,,,46538.86515,43162.89854,6513.47307,48682.43521,,41304.93478,28072.97628,6091.188807,58400.49265,269898.3028,217458.309,187672.7142,
14673.37132,28342.49026,138725.5019,422510.1199,71949.19389,33823.53776,,20379.41188,,13738.36393,20369.78695,,,,46858.81273,43250.23369,6472.275888,47994.72946,,40994.7299,27982.95007,6113.697046,58028.25725,266897.4923,215194.2976,185480.4726,
14656.17893,28167.2767,137044.2445,422796.4769,71109.84798,33309.13413,,19694.08001,,13356.39446,19953.57641,,,,47699.82155,43900.39619,6604.53987,47270.82775,,41030.52584,27075.19179,6020.852155,57089.57533,267638.0299,214628.2947,183571.1717,
14776.52404,28217.33817,137863.3173,425803.1438,72702.13695,33781.17243,,19915.68338,,13588.08115,20422.83332,,,,48065.47718,44637.89014,6624.054302,47958.53351,,41758.31201,27427.79324,6164.339408,58246.74283,271408.3614,217684.7067,183871.6553,
14720.64958,28534.38781,138682.4032,426232.6793,74084.5871,34150.33461,,20285.02494,,13619.38962,20565.64971,,,,47708.96229,43541.34963,13381.79538,48067.1179,,43011.0616,27525.32103,6296.572878,59614.30441,273110.6935,218420.5036,183744.2708,
14746.43817,28701.2562,138294.4096,425946.3223,74282.07998,34271.37059,,20293.2327,,13544.24763,20630.93859,,,,47041.64055,43842.17152,13498.64826,47951.29501,,43738.84778,27750.38297,6395.044995,59517.19885,273091.3714,216722.495,183507.4942,
14737.84197,28400.89373,139070.3837,424013.4533,73874.74827,33744.86423,,20145.49608,,13613.12769,20806.39845,,,,46420.02685,43774.24459,13100.48355,47828.23017,,43070.71485,28208.0138,6527.278465,60010.81427,274591.7688,220967.5165,184882.933,
14823.8023,28250.71249,137949.541,422366.9414,71739.35505,33666.1907,,20030.59051,,13769.67239,21524.56448,,,,46420.02685,43648.093,13178.38547,47415.60809,,42426.44494,28530.60531,6434.433574,59055.94938,271922.8275,219439.3191,183305.9545,
14866.78164,28626.16558,139587.6866,428523.4809,72319.49244,33793.27804,,20239.88302,,13857.33705,21234.84957,,,,46365.17807,43434.60625,13489.99231,48067.1179,,42533.8242,28703.15435,6406.298779,57259.51199,273230.967,222042.9185,183935.3328,
14780.82132,28025.44063,139673.9103,428666.6594,72047.93797,33884.05431,,20116.76968,,14032.66755,20961.45736,,,,46273.76634,43094.97161,13541.92719,48182.94424,,42462.23802,28418.07435,6274.06531,56968.19532,269638.8911,218194.1059,181481.5117,
14458.47133,27758.45246,142476.0103,428881.4135,71603.57782,33641.98235,,19392.97379,,13976.31136,20806.39845,,,,46109.22,43094.97161,13329.8605,48045.4024,,42509.9612,28575.61842,6321.894394,57105.76217,267951.0503,217175.3076,180173.1632,
14368.21372,27508.15146,140191.2263,423870.2748,71652.95221,33660.13645,,19481.87573,,14038.92948,20647.25935,,,,45560.73656,42648.5936,13321.20537,47690.68833,,42915.61526,28680.6478,6338.775405,57049.1179,266873.8127,215307.4878,179405.952,
14415.49198,27266.19244,141527.602,421937.4059,71541.86218,33635.93098,,19316.19296,,13894.90864,20512.60334,,,,45085.38337,42832.96616,13195.69654,47343.2162,,42378.72176,28598.12497,6350.029189,56612.14289,265584.9952,214628.2947,182089.4992,
14260.76373,27675.01667,143381.3068,422581.6955,71109.84798,33399.91039,,19287.90577,,13963.7875,20194.32515,,,,44518.6141,42735.92875,13191.36857,47126.04741,,42724.71973,28883.20497,6378.163984,56806.35401,265811.0667,218873.3162,185685.3955,
14170.50612,27741.7653,142691.5565,426017.8979,69998.94759,33194.14952,,19251.53631,,13945.0029,20069.87059,,,,44436.34311,42289.55074,13070.18854,46655.51044,,42342.92868,28703.15435,6330.3349,55811.02782,264531.9104,214911.2961,184476.2303,
14191.99579,27533.1806,141268.9571,418518.159,69924.89071,33242.56333,,19328.31714,,13838.55245,19606.73493,,,,44683.16044,42600.07489,12983.63068,46568.64155,,42235.54941,28508.09876,6305.013383,56005.23894,263560.4708,212760.4749,182319.4653,
13972.79688,27624.95838,143467.5174,417225.9909,70369.24615,33297.02851,,19558.65656,,14070.23795,19572.05234,,,,44024.97944,42076.06399,13130.77856,46887.15968,,42307.13559,28590.62159,6355.656417,56490.76287,264685.5241,213100.08,182673.1783,
13620.36184,27841.88507,142303.576,413277.7118,69986.60635,32885.50676,,19170.71511,,13663.22195,19266.01472,,,,43522.20404,41299.7536,13087.49962,46510.7301,,42390.65185,28658.14125,6324.707673,56215.63303,261136.4337,211005.8625,181184.6954,
13603.16945,27541.52259,143208.8725,413852.0209,69320.06612,32480.03638,,19021.19689,,13625.65155,19335.38379,,,,43092.55454,41328.86408,12849.46672,45786.82495,,41412.31405,28455.58407,6248.743793,53966.03766,258654.9359,209024.8525,178882.8075,
13663.34201,26907.4265,141656.9376,414354.5277,68320.25578,32080.61736,,18786.8171,,13143.49356,19231.33018,,,,42946.29403,41299.7536,12749.92493,44505.51738,,41030.52584,27675.36351,6113.697046,53019.26425,256615.9036,205515.6451,177397.9623,
13654.74581,26874.05218,142562.2341,415287.7389,68036.36006,32050.35765,,18835.30921,,12899.2842,18925.2945,,,,42790.88843,40455.51258,12745.59778,44802.32002,,41125.97218,27697.86828,6141.831841,52825.05314,258226.9294,207836.2603,180523.4634,
13813.77135,26823.99389,142691.5565,416220.9774,67591.99991,31753.82051,,18641.33925,,12573.67092,18529.48686,,,,44043.26091,41435.60745,12451.30202,44237.67565,,40803.83722,27532.82262,5956.14206,52509.462,257269.9815,207157.0499,181379.1702,
13925.52026,26915.76849,145191.8867,421533.2269,70776.57786,32734.21107,,19344.48015,,12792.83375,19370.06833,,,,44253.5153,41008.63396,12559.49894,45207.70359,,41507.76323,27690.36669,6026.478712,54176.43175,261675.0524,211345.4677,182825.3516,
13929.81754,26815.64872,145493.6565,420815.3405,71455.45934,32879.4554,,19392.97379,,12686.3833,19649.57985,,,,44555.18141,41707.31517,12572.48204,45432.11432,,41901.48437,27900.42545,6060.240734,54710.50846,259203.2156,209817.2703,183164.9492,
13792.28167,26924.11366,145881.637,426917.2513,72121.99956,33079.16491,,19445.50626,,12792.83375,19851.56386,,,,43878.71893,41270.63941,12585.46597,45374.20288,,42295.2055,28665.64462,6110.883097,55673.46483,257149.692,208345.6594,182196.2131,
13414.05723,26665.46748,143122.6488,421030.7201,71245.62521,32897.6095,,19235.37176,,12711.42983,19623.05764,,,,43622.7565,40989.22944,12317.13724,44657.53968,,41949.20754,28410.57097,5930.820543,55696.77001,255144.4894,205855.2502,179484.2099,
13323.79962,26223.26893,141527.602,415574.8934,70097.69639,32667.64027,,19033.31953,,12498.52893,19419.03256,,,,43211.39719,39921.79941,12213.26829,44100.13381,,41507.76323,28373.06124,5885.804737,54981.02214,253206.4246,204610.037,178140.6249,
13220.64772,25864.50299,139156.5942,409903.7144,68949.76756,32237.96442,,18689.83135,,12298.1519,19137.47997,,,,43174.82989,39941.20764,12070.44839,43492.055,,40887.35348,27847.91076,5801.400352,54462.71966,248916.7965,201497.0212,176485.8535,
13216.34962,25914.56287,137733.9949,405165.774,68715.24153,32062.46038,,18629.21507,,12268.0951,19061.99158,,,,42635.48718,39378.38399,12087.76029,43347.27466,,40469.76933,27930.43538,5773.265558,52578.73658,246680.676,202742.2345,176393.9601,
13078.81376,25580.82767,139027.2718,403658.2538,68172.1373,31614.62755,,18415.04019,,12012.61474,18725.35156,,,,42690.33596,39096.97031,11983.89135,42869.49919,,40255.01364,27225.23427,5677.606718,50735.88943,247219.2948,204044.0341,176040.502,
13306.60723,25338.87024,137087.3564,402940.3948,67703.08994,31681.19835,,18346.34318,,12047.6806,18698.8274,,,,43494.77747,39310.45336,11663.62855,42355.52777,,39682.32706,27382.78013,5596.578737,50447.94578,250202.7873,201836.6264,176047.5521,
13495.71945,25981.30991,139889.4564,417225.9909,68776.96188,32147.18528,,18326.13672,,12805.35761,18974.26068,,,,43988.41213,39882.98297,12031.49743,43477.578,,40159.56446,27847.91076,5719.809246,51928.80384,260724.904,211685.0729,185265.3121,
13538.69962,26448.54079,143769.2873,414569.8799,70406.2793,32752.36805,,18746.40573,,13018.25851,19251.73308,,,,43631.89724,38621.47812,12195.95721,44512.75933,,40386.25307,28388.06442,5823.90792,52718.59716,259137.9598,209138.06,183111.9596,
13585.97788,26423.51005,141786.26,412846.98,70023.63479,32722.10834,,18798.93974,,12767.78602,19027.30705,,,,43778.16211,38225.55852,12208.94032,44317.30605,,40207.28763,27787.89448,5731.06303,52537.60458,260832.6391,207609.8453,181481.7515,
13706.32135,26456.88278,140837.8648,415021.6068,70122.38359,32879.4554,,18863.59639,,12817.88028,19188.48527,,,,43385.07991,37375.49836,12226.25222,44519.99783,,40553.28559,28117.98938,5762.011774,52850.22742,263554.834,210666.2746,182634.5145,
13654.74581,26448.54079,141527.602,405882.0877,69826.14191,32782.62488,,18774.69292,,12836.66608,19400.67073,,,,43110.84037,36575.90033,12239.23615,44476.56339,,40505.56242,28132.99255,5742.316814,52990.088,258711.8829,202459.233,178023.9281,
13818.07026,26340.07586,139760.134,404586.7172,69480.53056,32812.8846,,18661.54416,,12673.85944,19659.7813,,,,42964.5755,37111.5532,12100.74339,44237.67565,,40171.49738,27735.37979,5635.404861,52554.05738,258491.5988,198497.2129,178328.0495,
13667.63928,26548.66056,139673.9103,410199.9712,70998.75794,33163.8898,,19005.03234,,12755.26335,20259.61403,,,,42269.83155,35935.44379,12157.00626,44563.43228,,40422.04616,27465.30296,5733.876979,53475.48096,259622.019,200761.2244,180039.4481,
13508.61375,26006.34065,139415.2523,407825.1161,69961.91915,32843.14432,,18798.93974,,12636.28904,20116.79569,,,,42160.13399,35923.79812,12144.02233,44063.93786,,38966.47097,26970.16241,5613.459748,52521.14785,258015.7531,200365.0155,179120.0636,
13525.80532,25847.81583,138811.7256,407393.3442,69653.33623,32649.48617,,18835.30921,,12413.36881,20108.63531,,,,42224.12351,35613.27396,11728.54654,43629.59684,,39097.7104,27067.6902,5602.205629,52471.78553,260009.452,202968.6322,183772.9515,
13603.16945,26048.05696,138509.9558,407825.1161,69208.97608,32776.57352,,18851.47375,,12303.16216,20082.1131,,,,42489.22231,36211.03463,11810.77643,43738.18123,,38835.23154,26992.66896,5622.462708,52677.46124,258369.3723,200704.6207,179643.2083,
13598.87135,26231.61251,139285.9298,407537.2773,70369.24615,33079.16491,,18487.77912,,12373.29388,20122.91695,,,,42105.28521,35869.45657,11927.62848,44121.84931,,39288.60593,27360.27358,5655.09915,53097.03906,260552.9248,202572.4232,180746.3792,
13684.83168,26114.804,138509.9558,397678.0653,70060.66324,32831.04158,,18273.60425,,12303.16216,20018.86529,,,,41785.33763,36292.54694,12001.20242,43701.98874,,38703.98926,27105.19993,5612.334168,52833.77462,257507.5411,197195.396,177100.8914,
13444.14391,26156.52189,128293.0758,398325.7505,69702.71063,32837.09295,,18269.56234,,12042.67154,19961.73873,,,,41300.8437,35745.24469,12061.79326,43644.07384,,39063.09697,27067.6902,5570.694766,52800.86902,258051.014,197195.396,178691.9705,
