Date,BAY
2023-11-23 00:00:00,56.91
2023-11-22 00:00:00,57.36
2023-11-21 00:00:00,57.78
2023-11-20 00:00:00,55.53
2023-11-17 00:00:00,55.88
2023-11-16 00:00:00,55.77
2023-11-15 00:00:00,58.41
2023-11-14 00:00:00,59.37
2023-11-13 00:00:00,60.99
2023-11-10 00:00:00,61.51
2023-11-09 00:00:00,61.02
2023-11-08 00:00:00,61.27
2023-11-07 00:00:00,59.24
2023-11-06 00:00:00,57.13
2023-11-03 00:00:00,57.29
2023-11-02 00:00:00,60.37
2023-11-01 00:00:00,59.01
2023-10-31 00:00:00,59.54
2023-10-30 00:00:00,61.57
2023-10-27 00:00:00,57.45
2023-10-26 00:00:00,56.43
2023-10-25 00:00:00,57.62
2023-10-24 00:00:00,57.44
2023-10-23 00:00:00,61.62
2023-10-20 00:00:00,56.54
2023-10-19 00:00:00,61.48
2023-10-18 00:00:00,60.56
2023-10-17 00:00:00,59.95
2023-10-16 00:00:00,59.81
2023-10-13 00:00:00,59.29
2023-10-12 00:00:00,58.06
2023-10-11 00:00:00,58.83
2023-10-10 00:00:00,59.5
2023-10-09 00:00:00,60.76
2023-10-06 00:00:00,60.61
2023-10-05 00:00:00,61.54
2023-10-04 00:00:00,60.44
2023-10-03 00:00:00,60.82
2023-10-02 00:00:00,60.38
2023-09-29 00:00:00,59.74
2023-09-28 00:00:00,60.78
2023-09-27 00:00:00,60.8
2023-09-26 00:00:00,60.02
2023-09-25 00:00:00,59.61
2023-09-22 00:00:00,59.04
2023-09-21 00:00:00,56.53
2023-09-20 00:00:00,55.98
2023-09-19 00:00:00,57.25
2023-09-18 00:00:00,60.59
2023-09-15 00:00:00,60.22
2023-09-14 00:00:00,58.42
2023-09-13 00:00:00,59.39
2023-09-12 00:00:00,58.36
2023-09-11 00:00:00,59.31
2023-09-08 00:00:00,55.3
2023-09-07 00:00:00,53.33
2023-09-06 00:00:00,58.02
2023-09-05 00:00:00,57.19
2023-09-04 00:00:00,59.2
2023-09-01 00:00:00,58.19
2023-08-31 00:00:00,57.06
2023-08-30 00:00:00,57.32
2023-08-29 00:00:00,54.98
2023-08-28 00:00:00,56.56
2023-08-25 00:00:00,56.65
2023-08-24 00:00:00,56.47
2023-08-23 00:00:00,60.02
2023-08-22 00:00:00,60.68
2023-08-21 00:00:00,61.19
2023-08-18 00:00:00,60.52
2023-08-17 00:00:00,60.55
2023-08-16 00:00:00,60.74
2023-08-15 00:00:00,60.42
2023-08-14 00:00:00,58.41
2023-08-11 00:00:00,59.71
2023-08-10 00:00:00,59.32
2023-08-09 00:00:00,59.39
2023-08-08 00:00:00,58.99
2023-08-07 00:00:00,58.35
2023-08-04 00:00:00,57.34
2023-08-03 00:00:00,58.33
2023-08-02 00:00:00,60.08
2023-08-01 00:00:00,59.2
2023-07-31 00:00:00,56.22
2023-07-28 00:00:00,55.23
2023-07-27 00:00:00,59.47
2023-07-26 00:00:00,60.35
2023-07-25 00:00:00,58.36
2023-07-24 00:00:00,60.04
2023-07-21 00:00:00,60.28
2023-07-20 00:00:00,60.42
2023-07-19 00:00:00,57.39
2023-07-18 00:00:00,56.38
2023-07-17 00:00:00,56.46
2023-07-14 00:00:00,57.43
2023-07-13 00:00:00,56.53
2023-07-12 00:00:00,56.86
2023-07-11 00:00:00,58.63
2023-07-10 00:00:00,57.71
2023-07-07 00:00:00,55.74
2023-07-06 00:00:00,58.93
2023-07-05 00:00:00,57.61
2023-07-04 00:00:00,56.65
2023-07-03 00:00:00,55.19
2023-06-30 00:00:00,55.65
2023-06-29 00:00:00,54.13
2023-06-28 00:00:00,54.84
2023-06-27 00:00:00,59.92
2023-06-26 00:00:00,60.04
2023-06-23 00:00:00,59.61
2023-06-22 00:00:00,59.99
2023-06-21 00:00:00,59.81
2023-06-20 00:00:00,55.49
2023-06-19 00:00:00,55.18
2023-06-16 00:00:00,54.77
2023-06-15 00:00:00,59.4
2023-06-14 00:00:00,58.7
2023-06-13 00:00:00,57
2023-06-12 00:00:00,56.58
2023-06-09 00:00:00,54.6
2023-06-08 00:00:00,55.65
2023-06-07 00:00:00,55.08
2023-06-06 00:00:00,55.71
2023-06-05 00:00:00,53.34
2023-06-02 00:00:00,53.45
2023-06-01 00:00:00,53.77
2023-05-31 00:00:00,49.79
2023-05-30 00:00:00,48.79
2023-05-29 00:00:00,49.8
2023-05-26 00:00:00,49.64
2023-05-25 00:00:00,50.02
2023-05-24 00:00:00,49.97
2023-05-23 00:00:00,49.34
2023-05-22 00:00:00,49.59
2023-05-19 00:00:00,50.06
2023-05-18 00:00:00,51.03
2023-05-17 00:00:00,50.95
2023-05-16 00:00:00,50.99
2023-05-15 00:00:00,50.65
2023-05-12 00:00:00,50.92
2023-05-11 00:00:00,50.98
2023-05-10 00:00:00,47.71
2023-05-09 00:00:00,48.11
2023-05-08 00:00:00,48.03
2023-05-05 00:00:00,47.78
2023-05-04 00:00:00,48.05
2023-05-03 00:00:00,45.13
2023-05-02 00:00:00,44.8
2023-05-01 00:00:00,45.07
2023-04-28 00:00:00,44.88
2023-04-27 00:00:00,48.73
2023-04-26 00:00:00,48.66
2023-04-25 00:00:00,47.79
2023-04-24 00:00:00,47.12
2023-04-21 00:00:00,47.07
2023-04-20 00:00:00,46.26
2023-04-19 00:00:00,45.91
2023-04-18 00:00:00,45.7
2023-04-17 00:00:00,46.37
2023-04-14 00:00:00,46.91
2023-04-13 00:00:00,47.5
2023-04-12 00:00:00,47.68
2023-04-11 00:00:00,48.32
2023-04-10 00:00:00,49.39
2023-04-07 00:00:00,49.32
2023-04-06 00:00:00,49.06
2023-04-05 00:00:00,48.85
2023-04-04 00:00:00,50.12
2023-04-03 00:00:00,49.72
2023-03-31 00:00:00,51.76
2023-03-30 00:00:00,55.28
2023-03-29 00:00:00,57.04
2023-03-28 00:00:00,62.08
2023-03-27 00:00:00,61.15
2023-03-24 00:00:00,61.31
2023-03-23 00:00:00,60.31
2023-03-22 00:00:00,58.45
2023-03-21 00:00:00,58.86
2023-03-20 00:00:00,62.11
2023-03-17 00:00:00,59.12
2023-03-16 00:00:00,57.93
2023-03-15 00:00:00,59.87
2023-03-14 00:00:00,56.6
2023-03-13 00:00:00,56.35
2023-03-10 00:00:00,53.49
2023-03-09 00:00:00,51.83
2023-03-08 00:00:00,49.85
2023-03-07 00:00:00,50.69
2023-03-06 00:00:00,49.57
2023-03-03 00:00:00,49.81
2023-03-02 00:00:00,54.59
2023-03-01 00:00:00,50.01
2023-02-28 00:00:00,49.94
2023-02-27 00:00:00,49.93
2023-02-24 00:00:00,50.44
2023-02-23 00:00:00,49.74
2023-02-22 00:00:00,51.74
2023-02-21 00:00:00,54.72
2023-02-20 00:00:00,53.45
2023-02-17 00:00:00,51.54
2023-02-16 00:00:00,53.45
2023-02-15 00:00:00,53.47
2023-02-14 00:00:00,49.75
2023-02-13 00:00:00,49.88
2023-02-10 00:00:00,49.72
2023-02-09 00:00:00,48.52
2023-02-08 00:00:00,53.38
2023-02-07 00:00:00,53.41
2023-02-06 00:00:00,53.16
2023-02-03 00:00:00,52.66
2023-02-02 00:00:00,53.09
2023-02-01 00:00:00,54.64
2023-01-31 00:00:00,58.32
2023-01-30 00:00:00,58.56
2023-01-27 00:00:00,53.72
2023-01-26 00:00:00,51.82
2023-01-25 00:00:00,62.99
2023-01-24 00:00:00,62.65
2023-01-23 00:00:00,62.95
2023-01-20 00:00:00,62.95
2023-01-19 00:00:00,63.1
2023-01-18 00:00:00,63.01
2023-01-17 00:00:00,62.65
2023-01-16 00:00:00,63.03
2023-01-13 00:00:00,63.03
2023-01-12 00:00:00,63.01
2023-01-11 00:00:00,62.98
2023-01-10 00:00:00,63.02
2023-01-09 00:00:00,63.01
2023-01-06 00:00:00,62.94
2023-01-05 00:00:00,63.04
2023-01-04 00:00:00,63.03
2023-01-03 00:00:00,62.98
2023-01-02 00:00:00,62.96
2022-12-30 00:00:00,62.99
2022-12-29 00:00:00,63.8
2022-12-28 00:00:00,64.1
2022-12-27 00:00:00,64.13
2022-12-26 00:00:00,64.11
2022-12-23 00:00:00,64.08
2022-12-22 00:00:00,64.37
2022-12-21 00:00:00,64.68
2022-12-20 00:00:00,65.47
2022-12-19 00:00:00,65.37
2022-12-16 00:00:00,65.33
2022-12-15 00:00:00,65.78
2022-12-14 00:00:00,65.83
2022-12-13 00:00:00,65.8
2022-12-12 00:00:00,65.75
2022-12-09 00:00:00,65.77
2022-12-08 00:00:00,65.79
2022-12-07 00:00:00,65.82
2022-12-06 00:00:00,65.75
2022-12-05 00:00:00,65.76
2022-12-02 00:00:00,65.85
2022-12-01 00:00:00,65.76
2022-11-30 00:00:00,65.84
2022-11-29 00:00:00,65.78
2022-11-28 00:00:00,66.06
2022-11-25 00:00:00,66.13
2022-11-24 00:00:00,66.44
2022-11-23 00:00:00,66.76
2022-11-22 00:00:00,67.15
2022-11-21 00:00:00,69.06
2022-11-18 00:00:00,69.01
2022-11-17 00:00:00,69.09
2022-11-16 00:00:00,69.08
2022-11-15 00:00:00,69.08
2022-11-14 00:00:00,70.4
2022-11-11 00:00:00,70.77
2022-11-10 00:00:00,70.67
2022-11-09 00:00:00,70.67
2022-11-08 00:00:00,70.65
2022-11-07 00:00:00,70.64
2022-11-04 00:00:00,70.61
2022-11-03 00:00:00,70.66
2022-11-02 00:00:00,70.67
2022-11-01 00:00:00,70.62
2022-10-31 00:00:00,70.62
2022-10-28 00:00:00,72.67
2022-10-27 00:00:00,72.6
2022-10-26 00:00:00,71.68
2022-10-25 00:00:00,71.62
2022-10-24 00:00:00,71.59
2022-10-21 00:00:00,75.76
2022-10-20 00:00:00,74.13
2022-10-19 00:00:00,74.18
2022-10-18 00:00:00,74.21
2022-10-17 00:00:00,74.19
2022-10-14 00:00:00,74.16
2022-10-13 00:00:00,74.17
2022-10-12 00:00:00,74.11
2022-10-11 00:00:00,74.18
2022-10-10 00:00:00,74.1
2022-10-07 00:00:00,74.12
2022-10-06 00:00:00,74.1
2022-10-05 00:00:00,74.25
2022-10-04 00:00:00,74.24
2022-10-03 00:00:00,74.27
2022-09-30 00:00:00,74.16
2022-09-29 00:00:00,74.19
2022-09-28 00:00:00,74.12
2022-09-27 00:00:00,83.91
2022-09-26 00:00:00,83.72
2022-09-23 00:00:00,81.57
2022-09-22 00:00:00,79.93
2022-09-21 00:00:00,79.22
2022-09-20 00:00:00,78.48
2022-09-19 00:00:00,73.14
2022-09-16 00:00:00,73.2
2022-09-15 00:00:00,73.15
2022-09-14 00:00:00,73.14
2022-09-13 00:00:00,73.21
2022-09-12 00:00:00,73.19
2022-09-09 00:00:00,73.16
2022-09-08 00:00:00,73.22
2022-09-07 00:00:00,73.18
2022-09-06 00:00:00,73.15
2022-09-05 00:00:00,73.23
2022-09-02 00:00:00,73.17
2022-09-01 00:00:00,72.82
2022-08-31 00:00:00,72.84
2022-08-30 00:00:00,69.13
2022-08-29 00:00:00,69.28
2022-08-26 00:00:00,69.32
2022-08-25 00:00:00,69.25
2022-08-24 00:00:00,70.25
2022-08-23 00:00:00,70.25
2022-08-22 00:00:00,70.19
2022-08-19 00:00:00,70.29
2022-08-18 00:00:00,70.19
2022-08-17 00:00:00,67.13
2022-08-16 00:00:00,67.43
2022-08-15 00:00:00,67.39
2022-08-12 00:00:00,67.63
2022-08-11 00:00:00,67.95
2022-08-10 00:00:00,68.12
2022-08-09 00:00:00,70.45
2022-08-08 00:00:00,70.41
2022-08-05 00:00:00,70.44
2022-08-04 00:00:00,70.41
2022-08-03 00:00:00,70.44
2022-08-02 00:00:00,70.43
2022-08-01 00:00:00,70.41
2022-07-29 00:00:00,70.47
2022-07-28 00:00:00,70.45
2022-07-27 00:00:00,70.44
2022-07-26 00:00:00,70.39
2022-07-25 00:00:00,70.49
2022-07-22 00:00:00,70.41
2022-07-21 00:00:00,70.41
2022-07-20 00:00:00,70.2
2022-07-19 00:00:00,70.18
2022-07-18 00:00:00,70.24
2022-07-15 00:00:00,70.16
2022-07-14 00:00:00,70.19
2022-07-13 00:00:00,70.27
2022-07-12 00:00:00,70.25
2022-07-11 00:00:00,70.21
2022-07-08 00:00:00,70.2
2022-07-07 00:00:00,70.52
2022-07-06 00:00:00,70.51
2022-07-05 00:00:00,70.44
2022-07-04 00:00:00,73.62
2022-07-01 00:00:00,73.55
2022-06-30 00:00:00,70.48
2022-06-29 00:00:00,70.41
2022-06-28 00:00:00,69.95
2022-06-27 00:00:00,70.24
2022-06-24 00:00:00,70.39
2022-06-23 00:00:00,69.98
2022-06-22 00:00:00,69.95
2022-06-21 00:00:00,69.62
2022-06-20 00:00:00,70.04
2022-06-17 00:00:00,70.03
2022-06-16 00:00:00,70.09
2022-06-15 00:00:00,70.18
2022-06-14 00:00:00,70.12
2022-06-13 00:00:00,70.12
2022-06-10 00:00:00,70.12
2022-06-09 00:00:00,70.09
2022-06-08 00:00:00,70.11
2022-06-07 00:00:00,70.11
2022-06-06 00:00:00,70.1
2022-06-03 00:00:00,70.11
2022-06-02 00:00:00,70.13
2022-06-01 00:00:00,70.09
2022-05-31 00:00:00,70.61
2022-05-30 00:00:00,71.62
2022-05-27 00:00:00,72.12
2022-05-26 00:00:00,72.62
2022-05-25 00:00:00,72.6
2022-05-24 00:00:00,72.63
2022-05-23 00:00:00,72.58
2022-05-20 00:00:00,72.62
2022-05-19 00:00:00,72.59
2022-05-18 00:00:00,72.6
2022-05-17 00:00:00,73.11
2022-05-16 00:00:00,73.1
2022-05-13 00:00:00,73.09
2022-05-12 00:00:00,73.55
2022-05-11 00:00:00,73.59
2022-05-10 00:00:00,73.57
2022-05-09 00:00:00,72.59
2022-05-06 00:00:00,72.61
2022-05-05 00:00:00,72.58
2022-05-04 00:00:00,71.64
2022-05-03 00:00:00,71.6
2022-05-02 00:00:00,71.59
2022-04-29 00:00:00,71.18
2022-04-28 00:00:00,58.01
2022-04-27 00:00:00,56.95
2022-04-26 00:00:00,56.06
2022-04-25 00:00:00,55.53
2022-04-22 00:00:00,54.35
2022-04-21 00:00:00,53.81
2022-04-20 00:00:00,54.11
2022-04-19 00:00:00,54.55
2022-04-18 00:00:00,53.87
2022-04-15 00:00:00,53.92
2022-04-14 00:00:00,53.99
2022-04-13 00:00:00,53.79
2022-04-12 00:00:00,53.42
2022-04-11 00:00:00,53.31
2022-04-08 00:00:00,53.24
2022-04-07 00:00:00,52.92
2022-04-06 00:00:00,53.06
2022-04-05 00:00:00,52.03
2022-04-04 00:00:00,51.38
2022-04-01 00:00:00,51.04
2022-03-31 00:00:00,51.25
2022-03-30 00:00:00,51.31
2022-03-29 00:00:00,51.47
2022-03-28 00:00:00,53.31
2022-03-25 00:00:00,53.93
2022-03-24 00:00:00,54.31
2022-03-23 00:00:00,53.7
2022-03-22 00:00:00,53.47
2022-03-21 00:00:00,54.06
2022-03-18 00:00:00,51.26
2022-03-17 00:00:00,51.26
2022-03-16 00:00:00,52.82
2022-03-15 00:00:00,54.86
2022-03-14 00:00:00,54.25
2022-03-11 00:00:00,55.01
2022-03-10 00:00:00,55.4
2022-03-09 00:00:00,55.29
2022-03-08 00:00:00,58.22
2022-03-07 00:00:00,58.56
2022-03-04 00:00:00,55.57
2022-03-03 00:00:00,52.96
2022-03-02 00:00:00,52.94
2022-03-01 00:00:00,52.18
2022-02-28 00:00:00,51.3
2022-02-25 00:00:00,50.32
2022-02-24 00:00:00,52.19
2022-02-23 00:00:00,50.16
2022-02-22 00:00:00,50.35
2022-02-21 00:00:00,49.93
2022-02-18 00:00:00,49.03
2022-02-17 00:00:00,48.31
2022-02-16 00:00:00,47.75
2022-02-15 00:00:00,48.38
2022-02-14 00:00:00,48.73
2022-02-11 00:00:00,47.86
2022-02-10 00:00:00,47.38
2022-02-09 00:00:00,46.97
2022-02-08 00:00:00,47.92
2022-02-07 00:00:00,49.01
2022-02-04 00:00:00,47.26
2022-02-03 00:00:00,45.15
2022-02-02 00:00:00,43.91
2022-02-01 00:00:00,44.3
2022-01-31 00:00:00,45.27
2022-01-28 00:00:00,45.07
2022-01-27 00:00:00,44.05
2022-01-26 00:00:00,43.51
