Date,HESLN
2023-08-02 00:00:00,48.18
2023-08-01 00:00:00,48.13
2023-07-31 00:00:00,51.78
2023-07-28 00:00:00,56.1
2023-07-27 00:00:00,56.09
2023-07-26 00:00:00,56.08
2023-07-25 00:00:00,51.13
2023-07-24 00:00:00,51.1
2023-07-21 00:00:00,51.12
2023-07-20 00:00:00,51.13
2023-07-19 00:00:00,51.13
2023-07-18 00:00:00,51.08
2023-07-17 00:00:00,48.58
2023-07-14 00:00:00,48.56
2023-07-13 00:00:00,48.52
2023-07-12 00:00:00,48.56
2023-07-11 00:00:00,48.55
2023-07-10 00:00:00,48.53
2023-07-07 00:00:00,48.56
2023-07-06 00:00:00,48.58
2023-07-05 00:00:00,44.26
2023-07-04 00:00:00,44.31
2023-07-03 00:00:00,44.23
2023-06-30 00:00:00,40.76
2023-06-29 00:00:00,40.71
2023-06-28 00:00:00,36.71
2023-06-27 00:00:00,36.65
2023-06-26 00:00:00,36.71
2023-06-23 00:00:00,36.69
2023-06-22 00:00:00,36.66
2023-06-21 00:00:00,36.64
2023-06-20 00:00:00,36.67
2023-06-19 00:00:00,36.66
2023-06-16 00:00:00,36.81
2023-06-15 00:00:00,36.76
2023-06-14 00:00:00,36.78
2023-06-13 00:00:00,40.03
2023-06-12 00:00:00,40.48
2023-06-09 00:00:00,40.47
2023-06-08 00:00:00,40.53
2023-06-07 00:00:00,44.82
2023-06-06 00:00:00,45.22
2023-06-05 00:00:00,45.23
2023-06-02 00:00:00,46.27
2023-06-01 00:00:00,43.16
2023-05-31 00:00:00,58.69
2023-05-30 00:00:00,58.71
2023-05-29 00:00:00,58.74
2023-05-26 00:00:00,58.75
2023-05-25 00:00:00,58.75
2023-05-24 00:00:00,58.71
2023-05-23 00:00:00,58.72
2023-05-22 00:00:00,58.68
2023-05-19 00:00:00,58.72
2023-05-18 00:00:00,58.74
2023-05-17 00:00:00,58.75
2023-05-16 00:00:00,58.7
2023-05-15 00:00:00,58.76
2023-05-12 00:00:00,58.74
2023-05-11 00:00:00,58.7
2023-05-10 00:00:00,58.73
2023-05-09 00:00:00,58.69
2023-05-08 00:00:00,64.48
2023-05-05 00:00:00,64.43
2023-05-04 00:00:00,68.92
2023-05-03 00:00:00,68.86
2023-05-02 00:00:00,68.92
2023-05-01 00:00:00,68.9
2023-04-28 00:00:00,68.93
2023-04-27 00:00:00,68.95
2023-04-26 00:00:00,68.9
2023-04-25 00:00:00,69.49
2023-04-24 00:00:00,69.47
2023-04-21 00:00:00,69.47
2023-04-20 00:00:00,69.49
2023-04-19 00:00:00,69.51
2023-04-18 00:00:00,69.48
2023-04-17 00:00:00,69.51
2023-04-14 00:00:00,69.49
2023-04-13 00:00:00,71.38
2023-04-12 00:00:00,67.24
2023-04-11 00:00:00,67.23
2023-04-10 00:00:00,67.24
2023-04-07 00:00:00,67.25
2023-04-06 00:00:00,67.23
2023-04-05 00:00:00,67.17
2023-04-04 00:00:00,67.21
2023-04-03 00:00:00,64.3
2023-03-31 00:00:00,64.33
2023-03-30 00:00:00,64.32
2023-03-29 00:00:00,64.34
2023-03-28 00:00:00,64.3
2023-03-27 00:00:00,64.34
2023-03-24 00:00:00,64.29
2023-03-23 00:00:00,64.27
2023-03-22 00:00:00,64.37
2023-03-21 00:00:00,64.32
2023-03-20 00:00:00,64.3
2023-03-17 00:00:00,60.54
2023-03-16 00:00:00,60.5
2023-03-15 00:00:00,60.46
2023-03-14 00:00:00,60.48
2023-03-13 00:00:00,60.49
2023-03-10 00:00:00,65.49
2023-03-09 00:00:00,65.51
2023-03-08 00:00:00,72.04
2023-03-07 00:00:00,71.82
2023-03-06 00:00:00,67.34
2023-03-03 00:00:00,67.36
2023-03-02 00:00:00,62.94
2023-03-01 00:00:00,58.8
2023-02-28 00:00:00,58.84
2023-02-27 00:00:00,58.81
2023-02-24 00:00:00,58.84
2023-02-23 00:00:00,58.82
2023-02-22 00:00:00,59.57
2023-02-21 00:00:00,62.27
2023-02-20 00:00:00,62.24
2023-02-17 00:00:00,59.96
2023-02-16 00:00:00,59.6
2023-02-15 00:00:00,58.24
2023-02-14 00:00:00,53.31
2023-02-13 00:00:00,53.31
2023-02-10 00:00:00,53.31
2023-02-09 00:00:00,53.27
2023-02-08 00:00:00,59.08
2023-02-07 00:00:00,60.11
2023-02-06 00:00:00,60.11
2023-02-03 00:00:00,59.73
2023-02-02 00:00:00,66.43
2023-02-01 00:00:00,66.44
2023-01-31 00:00:00,62.91
2023-01-30 00:00:00,70.16
2023-01-27 00:00:00,64.42
2023-01-26 00:00:00,67.41
2023-01-25 00:00:00,74.28
2023-01-24 00:00:00,74.31
