Date,INGB
2023-09-28 00:00:00,99.4
2023-09-27 00:00:00,97.55
2023-09-26 00:00:00,103.16
2023-09-25 00:00:00,99.52
2023-09-22 00:00:00,100.36
2023-09-21 00:00:00,96.5
2023-09-20 00:00:00,96.96
2023-09-19 00:00:00,89.76
2023-09-18 00:00:00,86.79
2023-09-15 00:00:00,89.35
2023-09-14 00:00:00,89.92
2023-09-13 00:00:00,91.21
2023-09-12 00:00:00,90.67
2023-09-11 00:00:00,89.85
2023-09-08 00:00:00,90.75
2023-09-07 00:00:00,89.53
2023-09-06 00:00:00,88.49
2023-09-05 00:00:00,89.01
2023-09-04 00:00:00,88.76
2023-09-01 00:00:00,88.78
2023-08-31 00:00:00,90.44
2023-08-30 00:00:00,90.19
2023-08-29 00:00:00,89.13
2023-08-28 00:00:00,91.88
2023-08-25 00:00:00,90.97
2023-08-24 00:00:00,92.93
2023-08-23 00:00:00,93.06
2023-08-22 00:00:00,91.54
2023-08-21 00:00:00,92.14
2023-08-18 00:00:00,94.92
2023-08-17 00:00:00,93.5
2023-08-16 00:00:00,92.45
2023-08-15 00:00:00,91.84
2023-08-14 00:00:00,91.15
2023-08-11 00:00:00,88.43
2023-08-10 00:00:00,88.36
2023-08-09 00:00:00,88.86
2023-08-08 00:00:00,89.3
2023-08-07 00:00:00,89.28
2023-08-04 00:00:00,89.82
2023-08-03 00:00:00,90.02
2023-08-02 00:00:00,90
2023-08-01 00:00:00,89.35
2023-07-31 00:00:00,89.21
2023-07-28 00:00:00,89.52
2023-07-27 00:00:00,89.4
2023-07-26 00:00:00,89.42
2023-07-25 00:00:00,90
2023-07-24 00:00:00,90
2023-07-21 00:00:00,88.54
2023-07-20 00:00:00,89.05
2023-07-19 00:00:00,89.11
2023-07-18 00:00:00,89.07
2023-07-17 00:00:00,89.2
2023-07-14 00:00:00,88.24
2023-07-13 00:00:00,85.5
2023-07-12 00:00:00,89.16
2023-07-11 00:00:00,89.68
2023-07-10 00:00:00,89.74
2023-07-07 00:00:00,89.66
2023-07-06 00:00:00,89.65
2023-07-05 00:00:00,89.62
2023-07-04 00:00:00,89.4
2023-07-03 00:00:00,87.25
2023-06-30 00:00:00,89.73
2023-06-29 00:00:00,89.86
2023-06-28 00:00:00,89.8
2023-06-27 00:00:00,89.75
2023-06-26 00:00:00,89.9
2023-06-23 00:00:00,89.7
2023-06-22 00:00:00,89.76
2023-06-21 00:00:00,89.8
2023-06-20 00:00:00,89.71
2023-06-19 00:00:00,89.59
2023-06-16 00:00:00,84.64
2023-06-15 00:00:00,90.02
2023-06-14 00:00:00,88.69
2023-06-13 00:00:00,89.54
2023-06-12 00:00:00,88.03
2023-06-09 00:00:00,87.13
2023-06-08 00:00:00,86.82
2023-06-07 00:00:00,87.58
2023-06-06 00:00:00,86.71
2023-06-05 00:00:00,86.49
2023-06-02 00:00:00,89.47
2023-06-01 00:00:00,89.28
2023-05-31 00:00:00,88.06
2023-05-30 00:00:00,85.95
2023-05-29 00:00:00,86.67
2023-05-26 00:00:00,86.58
2023-05-25 00:00:00,91.23
2023-05-24 00:00:00,89.98
2023-05-23 00:00:00,84.43
2023-05-22 00:00:00,87.19
2023-05-19 00:00:00,88.63
2023-05-18 00:00:00,88.54
2023-05-17 00:00:00,92.6
2023-05-16 00:00:00,91.8
2023-05-15 00:00:00,90.26
2023-05-12 00:00:00,91.12
2023-05-11 00:00:00,92.49
2023-05-10 00:00:00,93.39
2023-05-09 00:00:00,91.82
2023-05-08 00:00:00,88.35
2023-05-05 00:00:00,88.38
2023-05-04 00:00:00,93.15
2023-05-03 00:00:00,91.41
2023-05-02 00:00:00,93.35
2023-05-01 00:00:00,93.16
2023-04-28 00:00:00,92.82
2023-04-27 00:00:00,88.96
2023-04-26 00:00:00,87.74
2023-04-25 00:00:00,84.24
2023-04-24 00:00:00,85.37
2023-04-21 00:00:00,83.43
2023-04-20 00:00:00,81.78
2023-04-19 00:00:00,82.66
