Date,KBCB
2023-12-13 00:00:00,106.97
2023-12-12 00:00:00,111.06
2023-12-11 00:00:00,114.53
2023-12-08 00:00:00,108.69
2023-12-07 00:00:00,107.64
2023-12-06 00:00:00,97.78
2023-12-05 00:00:00,99.08
2023-12-04 00:00:00,99.61
2023-12-01 00:00:00,99.29
2023-11-30 00:00:00,103.58
2023-11-29 00:00:00,104.77
2023-11-28 00:00:00,110.5
2023-11-27 00:00:00,119.74
2023-11-24 00:00:00,120.38
2023-11-23 00:00:00,113.38
2023-11-22 00:00:00,114.36
2023-11-21 00:00:00,115.2
2023-11-20 00:00:00,115.56
2023-11-17 00:00:00,116.36
2023-11-16 00:00:00,116.15
2023-11-15 00:00:00,116.42
2023-11-14 00:00:00,118.39
2023-11-13 00:00:00,121.55
2023-11-10 00:00:00,122.63
2023-11-09 00:00:00,121.65
2023-11-08 00:00:00,122.15
2023-11-07 00:00:00,123.42
2023-11-06 00:00:00,123.49
2023-11-03 00:00:00,123.72
2023-11-02 00:00:00,125.41
2023-11-01 00:00:00,128.49
2023-10-31 00:00:00,143.86
2023-10-30 00:00:00,143.93
2023-10-27 00:00:00,143.97
2023-10-26 00:00:00,143.78
2023-10-25 00:00:00,144
2023-10-24 00:00:00,143.85
2023-10-23 00:00:00,143.96
2023-10-20 00:00:00,143.66
2023-10-19 00:00:00,143.63
2023-10-18 00:00:00,143.54
2023-10-17 00:00:00,143.72
2023-10-16 00:00:00,143.81
2023-10-13 00:00:00,143.63
2023-10-12 00:00:00,143.91
2023-10-11 00:00:00,144.05
2023-10-10 00:00:00,144.5
2023-10-09 00:00:00,144.77
2023-10-06 00:00:00,144.68
2023-10-05 00:00:00,143.73
2023-10-04 00:00:00,143.15
2023-10-03 00:00:00,143.14
2023-10-02 00:00:00,153.84
2023-09-29 00:00:00,153.13
2023-09-28 00:00:00,153.43
2023-09-27 00:00:00,153.5
2023-09-26 00:00:00,153.47
2023-09-25 00:00:00,161.05
2023-09-22 00:00:00,161.08
2023-09-21 00:00:00,161.07
2023-09-20 00:00:00,161.05
2023-09-19 00:00:00,145.68
2023-09-18 00:00:00,145.77
2023-09-15 00:00:00,146.05
2023-09-14 00:00:00,145.77
2023-09-13 00:00:00,145.74
2023-09-12 00:00:00,145.75
2023-09-11 00:00:00,145.95
2023-09-08 00:00:00,145.91
2023-09-07 00:00:00,145.76
2023-09-06 00:00:00,145.9
2023-09-05 00:00:00,145.77
2023-09-04 00:00:00,145.89
2023-09-01 00:00:00,146.23
2023-08-31 00:00:00,145.93
2023-08-30 00:00:00,146.06
2023-08-29 00:00:00,145.93
2023-08-28 00:00:00,149.97
2023-08-25 00:00:00,150
2023-08-24 00:00:00,149.62
2023-08-23 00:00:00,149.22
2023-08-22 00:00:00,148.94
2023-08-21 00:00:00,149.3
2023-08-18 00:00:00,149.08
2023-08-17 00:00:00,149.29
2023-08-16 00:00:00,149.02
2023-08-15 00:00:00,148.99
2023-08-14 00:00:00,148.86
2023-08-11 00:00:00,149.04
2023-08-10 00:00:00,149.09
2023-08-09 00:00:00,149.38
2023-08-08 00:00:00,136.7
2023-08-07 00:00:00,143.38
2023-08-04 00:00:00,148.86
2023-08-03 00:00:00,146.2
2023-08-02 00:00:00,141.07
2023-08-01 00:00:00,146.29
2023-07-31 00:00:00,154.5
2023-07-28 00:00:00,154.55
2023-07-27 00:00:00,152.58
2023-07-26 00:00:00,152.84
2023-07-25 00:00:00,153.43
2023-07-24 00:00:00,154.35
2023-07-21 00:00:00,154.1
2023-07-20 00:00:00,154.75
2023-07-19 00:00:00,155.2
2023-07-18 00:00:00,154.5
2023-07-17 00:00:00,154.42
2023-07-14 00:00:00,154.83
2023-07-13 00:00:00,154.84
2023-07-12 00:00:00,155.06
2023-07-11 00:00:00,156.24
2023-07-10 00:00:00,156.34
2023-07-07 00:00:00,155.76
2023-07-06 00:00:00,168.1
2023-07-05 00:00:00,159.68
2023-07-04 00:00:00,159.52
2023-07-03 00:00:00,159.84
