Date,LBBW
2021-12-09 00:00:00,28.17
2021-12-08 00:00:00,27.58
2021-12-07 00:00:00,28.74
2021-12-06 00:00:00,28.54
2021-12-03 00:00:00,29.04
2021-12-02 00:00:00,28.45
2021-12-01 00:00:00,28.87
2021-11-30 00:00:00,28.39
2021-11-29 00:00:00,29.77
2021-11-26 00:00:00,28.34
2021-11-25 00:00:00,28.35
2021-11-24 00:00:00,28.44
2021-11-23 00:00:00,27.93
2021-11-22 00:00:00,28.05
2021-11-19 00:00:00,27.69
2021-11-18 00:00:00,27.9
2021-11-17 00:00:00,27.72
2021-11-16 00:00:00,27.68
2021-11-15 00:00:00,27.65
2021-11-12 00:00:00,27.7
2021-11-11 00:00:00,27.56
2021-11-10 00:00:00,27.68
2021-11-09 00:00:00,27.28
2021-11-08 00:00:00,27.17
2021-11-05 00:00:00,27.39
2021-11-04 00:00:00,27.54
2021-11-03 00:00:00,27.64
2021-11-02 00:00:00,27.89
2021-11-01 00:00:00,27.99
2021-10-29 00:00:00,27.75
2021-10-28 00:00:00,27.43
2021-10-27 00:00:00,27.12
2021-10-26 00:00:00,27.69
2021-10-25 00:00:00,27.49
2021-10-22 00:00:00,27.55
2021-10-21 00:00:00,27.43
2021-10-20 00:00:00,27.34
2021-10-19 00:00:00,27.82
2021-10-18 00:00:00,27.47
2021-10-15 00:00:00,27.44
2021-10-14 00:00:00,27.91
2021-10-13 00:00:00,28.39
2021-10-12 00:00:00,28.38
2021-10-11 00:00:00,28.04
2021-10-08 00:00:00,27.36
2021-10-07 00:00:00,28.28
2021-10-06 00:00:00,27.73
2021-10-05 00:00:00,27.23
2021-10-04 00:00:00,27.09
2021-10-01 00:00:00,27.1
2021-09-30 00:00:00,26.77
2021-09-29 00:00:00,27.16
2021-09-28 00:00:00,26.88
2021-09-27 00:00:00,26.91
2021-09-24 00:00:00,25.39
2021-09-23 00:00:00,25.39
2021-09-22 00:00:00,25.4
2021-09-21 00:00:00,25.4
2021-09-20 00:00:00,25.4
2021-09-17 00:00:00,23.93
2021-09-16 00:00:00,24.09
2021-09-15 00:00:00,23.96
2021-09-14 00:00:00,24.24
2021-09-13 00:00:00,24.84
2021-09-10 00:00:00,24.83
2021-09-09 00:00:00,24.93
2021-09-08 00:00:00,25.13
2021-09-07 00:00:00,25.05
2021-09-06 00:00:00,25.05
2021-09-03 00:00:00,24.99
2021-09-02 00:00:00,24.74
2021-09-01 00:00:00,24.73
